run_id,epoch_index,time_seconds,time_minutes,fault_magnitude_m,fault_active,fdir_detected,number_of_satellites,degrees_of_freedom,pdop,chi2_statistic,chi2_threshold,chi2_ratio,chi2_per_dof,residual_rms_m,residual_std_m,residual_mean_abs_m,residual_max_abs_m,residual_peak_to_peak_m,normalized_residual_rms,normalized_residual_max,residual_peak_over_rms,prior_position_correction_m,prior_clock_correction_m,chi2_ratio_mean_3,chi2_ratio_mean_6,chi2_ratio_mean_12,chi2_ratio_max_6,chi2_ratio_max_12,chi2_ratio_delta_1,residual_max_abs_m_mean_3,residual_max_abs_m_mean_6,residual_max_abs_m_mean_12,residual_max_abs_m_max_6,residual_max_abs_m_max_12,residual_max_abs_m_delta_1,prior_position_correction_m_mean_3,prior_position_correction_m_mean_6,prior_position_correction_m_mean_12,prior_position_correction_m_max_6,prior_position_correction_m_max_12,prior_position_correction_m_delta_1,temporal_features_valid
0,600,6000.0,100.0,0.0,0,0,5.0,1.0,1.9913282951603104,0.7725294166630902,6.6348966010212145,0.11643428121309167,0.7725294166630902,1.1792170919697367,1.1792170919697365,1.065665364265442,1.6222588382661343,3.2351200617849827,0.39307236398991224,0.5407529460887114,1.3757083825475689,43.29821377996296,10.78773457492207,,,,,,,,,,,,,,,,,,,0
0,601,6010.0,100.16666666666667,0.0,0,0,5.0,1.0,1.9917131646161947,0.07957123414915211,6.6348966010212145,0.011992837105691271,0.07957123414915211,0.3784550455053728,0.3784550455053728,0.34217328354716303,0.519651535898447,1.0368783846497536,0.12615168183512426,0.1732171786328157,1.3730865582846874,47.96614542396018,6.048033121820481,,,,,,-0.1044414441074004,,,,,,-1.1026073023676872,,,,,,4.667931643997221,0
0,602,6020.0,100.33333333333333,0.0,0,0,5.0,1.0,1.8398970726054196,0.009891401566697485,6.6348966010212145,0.0014908147272671957,0.009891401566697485,0.1334335895494664,0.1334335895494664,0.1154190570116043,0.19578900560736656,0.38595424219965935,0.04447786318315547,0.06526300186912219,1.4673142367558343,49.20320285992113,6.317238562260172,0.043305977682016716,,,,,-0.010502022378424075,0.7792331265906492,,,,,-0.3238625302910805,46.82252068794809,,,,,1.2370574359609492,0
0,603,6030.0,100.5,0.0,0,0,5.0,1.0,1.841578883734682,0.21577335759614547,6.6348966010212145,0.032520982702719824,0.21577335759614547,0.623211074735568,0.623211074735568,0.5394924558699131,0.9139102771878242,1.8008103296160698,0.207737024911856,0.30463675906260806,1.4664538456342444,43.916804543063265,8.509710824284412,0.015334878178559429,,,,,0.03103016797545263,0.543116939564546,,,,,0.7181212715804577,47.028717608981516,,,,,-5.286398316857863,0
0,604,6040.0,100.66666666666667,0.0,0,0,5.0,1.0,1.843266843946011,1.9774383048015143,6.6348966010212145,0.2980360394006977,1.9774383048015143,1.886634291176413,1.886634291176413,1.6344588369131088,2.765027977526188,5.445999398827553,0.6288780970588043,0.9216759925087293,1.4655876819677922,49.969256644500284,7.442150627848605,0.11068261227689491,,,,,0.2655150566979779,1.2915757534404595,,,,,1.8511177003383636,47.69642134916156,,,,,6.052452101437019,0
0,605,6050.0,100.83333333333333,0.0,0,0,5.0,1.0,1.844960232322166,0.042936070735152404,6.6348966010212145,0.00647124941307207,0.042936070735152404,0.27800166784261265,0.2780016678426126,0.24102814346551896,0.4071936011314392,0.8016582429409027,0.09266722261420422,0.1357312003771464,1.4647163964568983,41.8466509595365,9.319273023600545,0.1123427571721632,0.07782436742708997,,0.2980360394006977,,-0.29156478998762564,1.3620439519484837,1.0706385392695665,,2.765027977526188,,-2.3578343763947487,45.244237382366684,46.03337903515739,,49.969256644500284,,-8.122605684963787,0
0,606,6060.0,101.0,0.0,0,0,5.0,1.0,1.8466584792684804,1.126638318837409,6.6348966010212145,0.16980495501075354,1.126638318837409,1.4240607339251148,1.4240607339251148,1.2356087557971478,2.084596563130617,4.102204252034426,0.4746869113083716,0.694865521043539,1.4638396477549651,41.87309753348338,9.270128267464315,0.1581040812748411,0.08671947972670026,,0.2980360394006977,,0.16333370559768148,1.7522727139294147,1.1476948267469804,,2.765027977526188,,1.677402961999178,44.56300171250672,45.79585966074412,,49.969256644500284,,0.026446573946884655,0
0,607,6070.0,101.16666666666667,0.0,0,0,5.0,1.0,1.8483610698391542,1.3857148112587927,6.6348966010212145,0.2088525103835845,1.3857148112587927,1.5793310800037548,1.5793310800037548,1.3713732957839966,2.3104943558573723,4.544684994965792,0.526443693334585,0.7701647852857908,1.4629575679925702,47.89045524204693,12.778176773605082,0.1283762382691367,0.11952942527301581,,0.2980360394006977,,0.039047555372830944,1.6007615067064762,1.446168630073468,,2.765027977526188,,0.22589779272675514,43.87006791168894,45.78324463042525,,49.969256644500284,,6.0173577085635515,0
0,608,6080.0,101.33333333333333,0.0,0,0,5.0,1.0,1.8500670363447942,0.06923190745708328,6.6348966010212145,0.010434511887710112,0.06923190745708328,0.35301194515589684,0.35301194515589684,0.3067607581615448,0.5161283239722252,1.014744646847248,0.11767064838529895,0.1720427746574084,1.462070422983259,47.081926608722384,6.335985820496717,0.1296973257606827,0.12102004146642296,,0.2980360394006977,,-0.19841799849587438,1.6370730809867382,1.499558516467611,,2.765027977526188,,-1.794366031885147,45.615159794750895,45.429698588558786,,49.969256644500284,,-0.8085286333245492,0
0,609,6090.0,101.5,0.0,0,0,5.0,1.0,1.851775779845627,0.7733450343266164,6.6348966010212145,0.11655720967943743,0.7733450343266164,1.1798394220350112,1.1798394220350112,1.0260274432599545,1.7239556834101677,3.387832898646593,0.39327980734500373,0.5746518944700559,1.4611782342690784,48.69412270473121,8.10285232190654,0.11194807731691069,0.1350260792958759,,0.2980360394006977,,0.10612269779172732,1.516859454413255,1.634566084171335,,2.765027977526188,,1.2078273594379425,47.88883485183351,46.22591828217011,,49.969256644500284,,1.612196096008823,0
