output_metric,parameter,standardized_coefficient,absolute_coefficient,rank_abs_coefficient,subsystem
protected_dual_outage_rmse,gyro_bias_y_degps,0.05215198096725159,0.05215198096725159,8,Gyroscope
protected_dual_outage_rmse,gyro_bias_z_degps,0.09848033818599347,0.09848033818599347,2,Gyroscope
protected_dual_outage_rmse,star_tracker_noise_std_deg,-0.019263448151907833,0.019263448151907833,18,Star tracker
protected_dual_outage_rmse,initial_position_error_x_m,0.06904714921018591,0.06904714921018591,6,Initial state
protected_dual_outage_rmse,initial_position_error_y_m,-0.02512826636627747,0.02512826636627747,15,Initial state
protected_dual_outage_rmse,initial_position_error_z_m,0.0367972001882647,0.0367972001882647,11,Initial state
protected_dual_outage_rmse,initial_velocity_error_x_mps,0.08929364092345465,0.08929364092345465,4,Initial state
protected_dual_outage_rmse,initial_velocity_error_y_mps,-0.030814060525019258,0.030814060525019258,14,Initial state
protected_dual_outage_rmse,initial_velocity_error_z_mps,-0.017102752048842144,0.017102752048842144,19,Initial state
protected_dual_outage_rmse,non_gravitational_acceleration_mps2,0.0018013522393341905,0.0018013522393341905,22,Orbital disturbance
protected_dual_outage_rmse,fault_magnitude_m,-0.041638328287569616,0.041638328287569616,10,GNSS fault
protected_dual_outage_rmse,fault_start_min,0.062133244843599986,0.062133244843599986,7,GNSS fault
protected_dual_outage_rmse,fault_duration_min,0.04736643106621763,0.04736643106621763,9,GNSS fault
protected_dual_outage_rmse,gnss_outage_duration_min,0.03386894318608585,0.03386894318608585,12,Mission outage
protected_dual_outage_rmse,star_tracker_outage_duration_min,0.010715247054658766,0.010715247054658766,21,Mission outage
protected_dual_outage_rmse,dual_outage_duration_min,0.013941202340332203,0.013941202340332203,20,Mission outage
protected_nis_mean,pseudorange_noise_std_m,-0.0069591450126200395,0.0069591450126200395,5,GNSS measurement
protected_nis_mean,accelerometer_noise_std_mps2,0.005610780995130258,0.005610780995130258,7,Accelerometer
protected_nis_mean,accelerometer_bias_x_mps2,-0.0033324558095611484,0.0033324558095611484,13,Accelerometer
protected_nis_mean,accelerometer_bias_y_mps2,-0.0019660140485581617,0.0019660140485581617,19,Accelerometer
protected_nis_mean,accelerometer_bias_z_mps2,-0.005635281286026083,0.005635281286026083,6,Accelerometer
protected_nis_mean,gyro_noise_std_degps,-0.002137523230377377,0.002137523230377377,18,Gyroscope
protected_nis_mean,gyro_bias_x_degps,0.008317322432455027,0.008317322432455027,3,Gyroscope
protected_nis_mean,gyro_bias_y_degps,-0.0015505204340231565,0.0015505204340231565,21,Gyroscope
protected_nis_mean,gyro_bias_z_degps,-0.0007815973927374994,0.0007815973927374994,23,Gyroscope
protected_nis_mean,star_tracker_noise_std_deg,0.0041411811296895125,0.0041411811296895125,10,Star tracker
protected_nis_mean,initial_position_error_x_m,0.0015820263539055627,0.0015820263539055627,20,Initial state
protected_nis_mean,initial_position_error_y_m,0.0035223108551956615,0.0035223108551956615,11,Initial state
protected_nis_mean,initial_position_error_z_m,-0.002776182547026683,0.002776182547026683,16,Initial state
protected_nis_mean,initial_velocity_error_x_mps,-0.0023892338162131085,0.0023892338162131085,17,Initial state
protected_nis_mean,initial_velocity_error_y_mps,-0.003420454646725492,0.003420454646725492,12,Initial state
protected_nis_mean,initial_velocity_error_z_mps,0.0045809025388644335,0.0045809025388644335,9,Initial state
protected_nis_mean,non_gravitational_acceleration_mps2,0.008086408361746546,0.008086408361746546,4,Orbital disturbance
protected_nis_mean,fault_magnitude_m,-0.0055921613916236745,0.0055921613916236745,8,GNSS fault
protected_nis_mean,fault_start_min,0.001233350777094464,0.001233350777094464,22,GNSS fault
protected_nis_mean,fault_duration_min,0.0031508249539007297,0.0031508249539007297,14,GNSS fault
protected_nis_mean,gnss_outage_duration_min,-0.0029749665492870493,0.0029749665492870493,15,Mission outage
protected_nis_mean,star_tracker_outage_duration_min,0.012152963742193655,0.012152963742193655,1,Mission outage
protected_nis_mean,dual_outage_duration_min,0.008666466306541047,0.008666466306541047,2,Mission outage
gain_mission_rmse_m,pseudorange_noise_std_m,0.14028481782711272,0.14028481782711272,3,GNSS measurement
gain_mission_rmse_m,accelerometer_noise_std_mps2,-0.005526872090487493,0.005526872090487493,19,Accelerometer
gain_mission_rmse_m,accelerometer_bias_x_mps2,0.0016116660444932434,0.0016116660444932434,23,Accelerometer
gain_mission_rmse_m,accelerometer_bias_y_mps2,-0.08767328747575848,0.08767328747575848,5,Accelerometer
gain_mission_rmse_m,accelerometer_bias_z_mps2,0.07200378740054128,0.07200378740054128,6,Accelerometer
gain_mission_rmse_m,gyro_noise_std_degps,0.014869626631879566,0.014869626631879566,17,Gyroscope
gain_mission_rmse_m,gyro_bias_x_degps,0.003239199566392203,0.003239199566392203,21,Gyroscope
gain_mission_rmse_m,gyro_bias_y_degps,0.020891580107939123,0.020891580107939123,15,Gyroscope
gain_mission_rmse_m,gyro_bias_z_degps,0.028784385052999205,0.028784385052999205,13,Gyroscope
gain_mission_rmse_m,star_tracker_noise_std_deg,0.002750884502216632,0.002750884502216632,22,Star tracker
gain_mission_rmse_m,initial_position_error_x_m,-0.013781448153395652,0.013781448153395652,18,Initial state
gain_mission_rmse_m,initial_position_error_y_m,0.02209830387776008,0.02209830387776008,14,Initial state
gain_mission_rmse_m,initial_position_error_z_m,-0.040304889405423004,0.040304889405423004,12,Initial state
gain_mission_rmse_m,initial_velocity_error_x_mps,0.005404466076854149,0.005404466076854149,20,Initial state
gain_mission_rmse_m,initial_velocity_error_y_mps,-0.121592552632311,0.121592552632311,4,Initial state
gain_mission_rmse_m,initial_velocity_error_z_mps,0.052262181606797596,0.052262181606797596,8,Initial state
gain_mission_rmse_m,non_gravitational_acceleration_mps2,-0.047969147476064844,0.047969147476064844,11,Orbital disturbance
gain_mission_rmse_m,fault_magnitude_m,0.234715398248895,0.234715398248895,2,GNSS fault
gain_mission_rmse_m,fault_start_min,0.0504272619385731,0.0504272619385731,10,GNSS fault
gain_mission_rmse_m,fault_duration_min,0.26579876430413985,0.26579876430413985,1,GNSS fault
gain_mission_rmse_m,gnss_outage_duration_min,0.018967601569972497,0.018967601569972497,16,Mission outage
gain_mission_rmse_m,star_tracker_outage_duration_min,0.059265884417876065,0.059265884417876065,7,Mission outage
gain_mission_rmse_m,dual_outage_duration_min,0.05050287275539693,0.05050287275539693,9,Mission outage
gain_dual_rmse_m,pseudorange_noise_std_m,0.0217962662265064,0.0217962662265064,18,GNSS measurement
gain_dual_rmse_m,accelerometer_noise_std_mps2,0.16612787946962923,0.16612787946962923,4,Accelerometer
gain_dual_rmse_m,accelerometer_bias_x_mps2,-0.023669356085842072,0.023669356085842072,17,Accelerometer
gain_dual_rmse_m,accelerometer_bias_y_mps2,-0.1493053107160411,0.1493053107160411,5,Accelerometer
gain_dual_rmse_m,accelerometer_bias_z_mps2,0.1014266237827962,0.1014266237827962,7,Accelerometer
gain_dual_rmse_m,gyro_noise_std_degps,0.018627238526397628,0.018627238526397628,19,Gyroscope
gain_dual_rmse_m,gyro_bias_x_degps,0.02966402680504865,0.02966402680504865,16,Gyroscope
gain_dual_rmse_m,gyro_bias_y_degps,-0.06295909575238626,0.06295909575238626,8,Gyroscope
gain_dual_rmse_m,gyro_bias_z_degps,0.038155661406442325,0.038155661406442325,14,Gyroscope
gain_dual_rmse_m,star_tracker_noise_std_deg,-0.005533855999033962,0.005533855999033962,21,Star tracker
gain_dual_rmse_m,initial_position_error_x_m,-0.058185930951936964,0.058185930951936964,11,Initial state
gain_dual_rmse_m,initial_position_error_y_m,-0.0013522503641966986,0.0013522503641966986,23,Initial state
gain_dual_rmse_m,initial_position_error_z_m,-0.01851595369651617,0.01851595369651617,20,Initial state
gain_dual_rmse_m,initial_velocity_error_x_mps,-0.05820168444435575,0.05820168444435575,10,Initial state
gain_dual_rmse_m,initial_velocity_error_y_mps,-0.13979822211651868,0.13979822211651868,6,Initial state
gain_dual_rmse_m,initial_velocity_error_z_mps,0.04595992720418333,0.04595992720418333,13,Initial state
gain_dual_rmse_m,non_gravitational_acceleration_mps2,-0.052770885619908586,0.052770885619908586,12,Orbital disturbance
gain_dual_rmse_m,fault_magnitude_m,0.23287536926756094,0.23287536926756094,3,GNSS fault
