scenario_id,scenario_index,altitude_km,inclination_deg,initial_true_anomaly_deg,semi_major_axis_km,orbital_period_min,number_of_orbits,epochs,mean_geometry_step_s,visible_satellites_min,visible_satellites_mean,visible_satellites_max,availability_ge4_percent,availability_ge6_percent,pdop_availability_percent,pdop_min,pdop_mean,pdop_p90,pdop_p95,pdop_max,longest_below4_s,longest_below6_s,longest_below4_min,longest_below6_min,geometry_failures
AURORA17_000,0,400.0,0.0,0.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.986522911051212,16,100.0,100.0,100.0,0.8023213469342089,1.3196410856875775,1.6925045398792358,1.6975448114900464,1.7097731575067963,0.0,0.0,0.0,0.0,0
AURORA17_001,1,400.0,0.0,60.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.986522911051212,16,100.0,100.0,100.0,0.8018902671187541,1.3210964061303325,1.691827889142304,1.6964101610245919,1.705972449524771,0.0,0.0,0.0,0.0,0
AURORA17_002,2,400.0,0.0,120.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.964959568733153,16,100.0,100.0,100.0,0.8004834328680145,1.3181098380429561,1.6926758875298913,1.696543662097273,1.709157446999037,0.0,0.0,0.0,0.0,0
AURORA17_003,3,400.0,0.0,180.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.954177897574125,16,100.0,100.0,100.0,0.7993506432823206,1.323854528329204,1.6953250741842418,1.7007377914796602,1.7168163686791198,0.0,0.0,0.0,0.0,0
AURORA17_004,4,400.0,0.0,240.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.970350404312669,16,100.0,100.0,100.0,0.7993261263531676,1.3230669621742168,1.6959622671434278,1.702181954383486,1.7158627932838089,0.0,0.0,0.0,0.0,0
AURORA17_005,5,400.0,0.0,300.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,12.981132075471699,16,100.0,100.0,100.0,0.8006078927863338,1.316541655857929,1.693962809693876,1.6984318273948613,1.712232617768406,0.0,0.0,0.0,0.0,0
AURORA17_006,6,400.0,30.0,0.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.180592991913747,16,100.0,100.0,100.0,0.805249043700833,1.0739673673437875,1.645612878925083,1.654592443814562,1.683082960732481,0.0,0.0,0.0,0.0,0
AURORA17_007,7,400.0,30.0,60.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.029649595687331,15,100.0,100.0,100.0,0.831061525932899,1.104364382364207,1.6561047615955644,1.6820953151940574,1.6977178707602965,0.0,0.0,0.0,0.0,0
AURORA17_008,8,400.0,30.0,120.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.288409703504042,16,100.0,100.0,100.0,0.7979802699586535,1.061612154978632,1.6273310355971227,1.667055539256627,1.6804821047879561,0.0,0.0,0.0,0.0,0
AURORA17_009,9,400.0,30.0,180.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.272237196765499,16,100.0,100.0,100.0,0.802129219260112,1.0820562267750033,1.6479168025565174,1.6868217442307827,1.7119455955729443,0.0,0.0,0.0,0.0,0
AURORA17_010,10,400.0,30.0,240.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.06199460916442,16,100.0,100.0,100.0,0.7971887415170885,1.0982595104344761,1.6766490247054024,1.6959294306011734,1.7026364990761884,0.0,0.0,0.0,0.0,0
AURORA17_011,11,400.0,30.0,300.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.285714285714286,16,100.0,100.0,100.0,0.7970645093170374,1.0518403903326055,1.6211691308920124,1.6708235817575123,1.6877171022146507,0.0,0.0,0.0,0.0,0
AURORA17_012,12,400.0,60.0,0.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.107816711590296,15,100.0,100.0,100.0,0.8279959435413081,1.0390373560471575,1.19275659975225,1.6511924557831241,1.6718307585351682,0.0,0.0,0.0,0.0,0
AURORA17_013,13,400.0,60.0,60.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.253369272237197,16,100.0,100.0,100.0,0.7976194943776374,1.0250526214448266,1.1419347075955775,1.6340322790880863,1.6958973846628123,0.0,0.0,0.0,0.0,0
AURORA17_014,14,400.0,60.0,120.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.212938005390836,16,100.0,100.0,100.0,0.8045508420765326,1.0420580472972958,1.6249934246984699,1.6494159753050488,1.6812211283778877,0.0,0.0,0.0,0.0,0
AURORA17_015,15,400.0,60.0,180.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.121293800539084,16,100.0,100.0,100.0,0.8021201375032487,1.0449370688069632,1.1974159852628463,1.648021467406739,1.7115595185545716,0.0,0.0,0.0,0.0,0
AURORA17_016,16,400.0,60.0,240.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.180592991913747,16,100.0,100.0,100.0,0.7969372526232879,1.041179954656367,1.171096188960149,1.6399502509295354,1.6996784969255636,0.0,0.0,0.0,0.0,0
AURORA17_017,17,400.0,60.0,300.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.212938005390836,16,100.0,100.0,100.0,0.7973520263635131,1.0393226725568285,1.1921142258489468,1.6598725166323132,1.6887084499984053,0.0,0.0,0.0,0.0,0
AURORA17_018,18,400.0,75.0,0.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.280323450134771,15,100.0,100.0,100.0,0.8313614521971269,1.0363531160292065,1.2107941398612494,1.651759133249143,1.675951198638606,0.0,0.0,0.0,0.0,0
AURORA17_019,19,400.0,75.0,60.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.264150943396226,16,100.0,100.0,100.0,0.7975184028007435,1.040259129501812,1.202415793328714,1.6351065159406941,1.6957853528502185,0.0,0.0,0.0,0.0,0
AURORA17_020,20,400.0,75.0,120.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.210242587601078,16,100.0,100.0,100.0,0.8053016204196461,1.050178616522927,1.2115785194012598,1.6364062282100273,1.677208437024435,0.0,0.0,0.0,0.0,0
AURORA17_021,21,400.0,75.0,180.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.296495956873315,16,100.0,100.0,100.0,0.793960303982247,1.0437529864642219,1.2154757503009417,1.648091125334983,1.7111009006934286,0.0,0.0,0.0,0.0,0
AURORA17_022,22,400.0,75.0,240.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.336927223719677,16,100.0,100.0,100.0,0.7969003939407769,1.0448412932540645,1.2130548937367818,1.6361503093289456,1.699757783415678,0.0,0.0,0.0,0.0,0
AURORA17_023,23,400.0,75.0,300.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.210242587601078,16,100.0,100.0,100.0,0.8060879716872427,1.0468052899622982,1.217204677262874,1.6372880188961085,1.6862738881895738,0.0,0.0,0.0,0.0,0
AURORA17_024,24,400.0,90.0,0.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.242587601078167,16,100.0,100.0,100.0,0.8221617848716867,1.0449459525394178,1.2026698414376937,1.6519421968060102,1.673351866074458,0.0,0.0,0.0,0.0,0
AURORA17_025,25,400.0,90.0,60.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.212938005390836,15,100.0,100.0,100.0,0.8282964662504823,1.038390691352718,1.2147633013927484,1.6327874370923765,1.696015121604994,0.0,0.0,0.0,0.0,0
AURORA17_026,26,400.0,90.0,120.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.129380053908356,16,100.0,100.0,100.0,0.8053188047810637,1.0578326895920185,1.2152707417749176,1.6354451119800042,1.676439981169982,0.0,0.0,0.0,0.0,0
AURORA17_027,27,400.0,90.0,180.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.266846361185983,16,100.0,100.0,100.0,0.7953188163055396,1.0507247386192766,1.2002754113351362,1.6476837207431179,1.7105743229379697,0.0,0.0,0.0,0.0,0
AURORA17_028,28,400.0,90.0,240.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.237196765498652,16,100.0,100.0,100.0,0.7960856369314585,1.0468081026961342,1.2160341196049063,1.633915766076103,1.7015165721776555,0.0,0.0,0.0,0.0,0
AURORA17_029,29,400.0,90.0,300.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.161725067385445,16,100.0,100.0,100.0,0.8060255080549829,1.0517375425362272,1.2155763827376913,1.6276399490123787,1.6833756105742135,0.0,0.0,0.0,0.0,0
AURORA17_030,30,400.0,97.6,0.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.226415094339623,16,100.0,100.0,100.0,0.8210783010540249,1.0474599568401135,1.2031422644506906,1.6463890526470468,1.6703194532363375,0.0,0.0,0.0,0.0,0
AURORA17_031,31,400.0,97.6,60.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.23989218328841,15,100.0,100.0,100.0,0.8281507052326609,1.0351574426872316,1.2084913914366906,1.6328749081768863,1.6963449524014718,0.0,0.0,0.0,0.0,0
AURORA17_032,32,400.0,97.6,120.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.272237196765499,16,100.0,100.0,100.0,0.8050344020471888,1.046328588537511,1.2141302769701328,1.6370805346159734,1.6769178812471848,0.0,0.0,0.0,0.0,0
AURORA17_033,33,400.0,97.6,180.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.226415094339623,16,100.0,100.0,100.0,0.7953506414712336,1.0575636151419814,1.2256394606726861,1.6475581951412948,1.71033336491549,0.0,0.0,0.0,0.0,0
AURORA17_034,34,400.0,97.6,240.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.253369272237197,16,100.0,100.0,100.0,0.7960196895553592,1.0440881763254115,1.2122264744901896,1.6339623186424852,1.7012323513188574,0.0,0.0,0.0,0.0,0
AURORA17_035,35,400.0,97.6,300.0,6778.137,92.56040452087046,2.0,371,30.01959065541745,12,13.274932614555256,16,100.0,100.0,100.0,0.7944841307262368,1.043426408855731,1.2188200501803979,1.628945858896293,1.6840871079784094,0.0,0.0,0.0,0.0,0
AURORA17_036,36,550.0,0.0,0.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.541666666666666,16,100.0,100.0,100.0,0.7958674006358502,1.2280076979411516,1.6823496032667735,1.6859435118258062,1.6977135941841321,0.0,0.0,0.0,0.0,0
AURORA17_037,37,550.0,0.0,60.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.572916666666666,16,100.0,100.0,100.0,0.7973842621487527,1.2223376515258089,1.6818617053340787,1.6889213555228804,1.6983136967374919,0.0,0.0,0.0,0.0,0
AURORA17_038,38,550.0,0.0,120.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.536458333333334,18,100.0,100.0,100.0,0.7378935356266783,1.2201498804605688,1.6706446822092205,1.6879749420682648,1.6994295808565512,0.0,0.0,0.0,0.0,0
AURORA17_039,39,550.0,0.0,180.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.505208333333334,18,100.0,100.0,100.0,0.7376077459719804,1.2350051070829748,1.6849670226341296,1.6888361235149096,1.7055284886574742,0.0,0.0,0.0,0.0,0
AURORA17_040,40,550.0,0.0,240.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.557291666666666,16,100.0,100.0,100.0,0.7902318513655306,1.2262294731144494,1.6870751291046198,1.6934892089405345,1.703802379686578,0.0,0.0,0.0,0.0,0
AURORA17_041,41,550.0,0.0,300.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.536458333333334,18,100.0,100.0,100.0,0.7382238868683954,1.222229449669519,1.674089878383506,1.6900958477027874,1.6981247145915945,0.0,0.0,0.0,0.0,0
AURORA17_042,42,550.0,30.0,0.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.932291666666666,16,100.0,100.0,100.0,0.7918751098943672,0.9968746115504934,1.1340218017581711,1.6422128841669723,1.6722338850292113,0.0,0.0,0.0,0.0,0
AURORA17_043,43,550.0,30.0,60.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.731770833333334,16,100.0,100.0,100.0,0.7965698866788924,1.0182793014094826,1.4919997525227497,1.6560536947511937,1.6923723684561014,0.0,0.0,0.0,0.0,0
AURORA17_044,44,550.0,30.0,120.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.940104166666666,17,100.0,100.0,100.0,0.7636667423071419,0.9950496406669697,1.1281850861515812,1.6226851899556414,1.6735805094821337,0.0,0.0,0.0,0.0,0
AURORA17_045,45,550.0,30.0,180.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.916666666666666,17,100.0,100.0,100.0,0.7626860538031476,0.9981130059416011,1.1337556746186006,1.6385560070683058,1.664639686481178,0.0,0.0,0.0,0.0,0
AURORA17_046,46,550.0,30.0,240.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.78125,17,100.0,100.0,100.0,0.7629105313334603,1.0275839156796087,1.6254085878794091,1.6687973126908628,1.6967284612964657,0.0,0.0,0.0,0.0,0
AURORA17_047,47,550.0,30.0,300.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.9296875,16,100.0,100.0,100.0,0.7948505862536223,0.996299855281512,1.1339664830271856,1.620162650556691,1.6799069425655282,0.0,0.0,0.0,0.0,0
AURORA17_048,48,550.0,60.0,0.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.778645833333334,16,100.0,100.0,100.0,0.7935301922924897,0.978024509746731,1.1200361244730501,1.6284497970148608,1.673821030613038,0.0,0.0,0.0,0.0,0
AURORA17_049,49,550.0,60.0,60.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.8828125,16,100.0,100.0,100.0,0.7956194314438603,0.9638707931847411,1.116810216667809,1.56076425211687,1.6920357982618104,0.0,0.0,0.0,0.0,0
AURORA17_050,50,550.0,60.0,120.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.848958333333334,16,100.0,100.0,100.0,0.796465505255488,0.9785659691034931,1.1124613236563727,1.6233584081841905,1.6724940037875442,0.0,0.0,0.0,0.0,0
AURORA17_051,51,550.0,60.0,180.0,6928.137,95.64988025024664,2.0,384,29.968630887805734,12,13.8515625,17,100.0,100.0,100.0,0.7652890785483324,0.9774237678882681,1.1265242082831548,1.6317229059469438,1.6658481028767116,0.0,0.0,0.0,0.0,0
