scenario_id,scenario_index,scenario_seed,pseudorange_noise_std_m,accelerometer_noise_std_mps2,accelerometer_bias_x_mps2,accelerometer_bias_y_mps2,accelerometer_bias_z_mps2,gyro_noise_std_degps,gyro_bias_x_degps,gyro_bias_y_degps,gyro_bias_z_degps,star_tracker_noise_std_deg,initial_position_error_x_m,initial_position_error_y_m,initial_position_error_z_m,initial_velocity_error_x_mps,initial_velocity_error_y_mps,initial_velocity_error_z_mps,non_gravitational_acceleration_mps2,fault_magnitude_m,fault_start_min,fault_duration_min,gnss_outage_duration_min,star_tracker_outage_duration_min,dual_outage_duration_min,accelerometer_bias_norm_mps2,gyro_bias_norm_degps,initial_position_error_norm_m,initial_velocity_error_norm_mps,time_sync_error_s,strong_detection_rate,strong_isolation_rate,low_detection_rate,false_alarm_rate,low_fault_missed_epochs,permissive_low_update_rate,protected_low_update_rate,permissive_missed_update_rate,protected_missed_update_rate,attitude_rmse_deg,attitude_st_outage_rmse_deg,attitude_dual_outage_rmse_deg,attitude_nis_mean,gyro_bias_final_error_degps,permissive_mission_rmse,permissive_mission_max,permissive_final_error,permissive_final_sigma,permissive_strong_fault_rmse,permissive_gnss_outage_rmse,permissive_star_tracker_outage_rmse,permissive_low_redundancy_rmse,permissive_post_low_rmse,permissive_dual_outage_rmse,permissive_post_dual_rmse,permissive_nis_mean,permissive_nis_coverage,permissive_updates,protected_mission_rmse,protected_mission_max,protected_final_error,protected_final_sigma,protected_strong_fault_rmse,protected_gnss_outage_rmse,protected_star_tracker_outage_rmse,protected_low_redundancy_rmse,protected_post_low_rmse,protected_dual_outage_rmse,protected_post_dual_rmse,protected_nis_mean,protected_nis_coverage,protected_updates,gain_mission_rmse_m,gain_low_rmse_m,gain_dual_rmse_m,ratio_low_rmse,ratio_dual_rmse
AURORA16_000,0,1601000,1.7755075841071664,8.23928316060261e-07,1.1436245493938876e-06,-4.812925502215078e-07,-2.282873374587075e-06,0.0004645711711944,0.0003595706206496,-7.759115107884573e-06,-0.0017831801428341,0.0118968538793735,95.77347310782676,-116.91423048530328,2.0393006800450166,-0.0640476398343118,0.0167844966757875,-0.1716381301562582,1.737131370521903e-05,73.30439426911713,100.42088877288109,7.333732498433792,17.824896461560627,6.914417465897046,15.45899962920924,2.598274518459063e-06,0.0018190884137115,151.1477892275301,0.1839659403817508,0.0,100.0,100.0,100.0,0.6711409395973155,0,0.0,0.0,,,0.027910248804477848,0.036115269178583896,0.0583487022821424,2.5321984330868803,3.4895216473102814e-05,0.33874488140015413,0.9424698907224178,0.432700328460197,0.2221027732917952,0.377518382291395,0.371271759123847,0.11320238277507035,0.1349962256762781,0.15041723284066597,0.2741920249405928,0.37307306346198515,2.9726355714125288,95.42682926829268,656,0.33874488140015413,0.9424698907224178,0.432700328460197,0.2221027732917952,0.377518382291395,0.371271759123847,0.11320238277507035,0.1349962256762781,0.15041723284066597,0.2741920249405928,0.37307306346198515,2.9726355714125288,95.42682926829268,656,0.0,0.0,0.0,1.0,1.0
AURORA16_001,1,1601001,1.618097965257021,4.0372814132806746e-07,-1.2997312087022949e-06,-4.412139535720037e-06,-2.4523086340765934e-06,0.0003122393404819,-0.0009727927588575,0.0010443124069601,-8.004209629500648e-06,0.0395677232651421,-96.45090944267334,68.90349978455333,-69.8404079653858,0.1863499174780309,-0.1631130306540345,-0.0930919739883601,2.895903274850084e-05,64.14873172906886,108.03287182575131,7.479595155254617,15.344737297203771,11.33446955145674,11.007733728458762,5.212494041656562e-06,0.0014272274599336,137.57962349000027,0.264571858167611,0.0,100.0,100.0,86.66666666666667,1.2598425196850394,6,13.333333333333334,0.0,100.0,0.0,0.03462461915037536,0.03960707959905843,0.023478812005647318,2.8570445262356388,2.121837367842228e-05,0.7029680014875651,2.8556907938698464,0.16870305752660086,0.16340848614421657,0.4901698137108653,0.9487448873919112,0.1748908805487328,1.951572417987171,1.0301213959348272,0.7652263623446455,0.4491857054084469,13.578328734459513,92.13161659513591,699,0.4013580069837879,1.7112128421390909,0.14378037716914177,0.16342117837970868,0.4901698137108653,0.9487448873919112,0.1748908805487328,0.14798924253028498,0.16271557109125354,0.15421004028698904,0.18311186384238712,2.9586410222191812,94.22799422799423,693,0.30160999450377723,1.803583175456886,0.6110163220576564,13.187258645423467,4.962234371513934
AURORA16_002,2,1601002,1.6767280948823262,8.760807693612987e-07,-4.548726556867467e-06,3.074129090794024e-06,-4.589471791310952e-06,0.0006020944479852,0.0001488262702958,0.0009872866050176,0.001971086690239,0.0370503441402531,144.65545690544195,17.43044327251951,-50.51505978427343,-0.1560631670088157,-0.1946954476414774,-0.147364051114943,2.062677002616324e-05,32.20375474000633,109.73930205703176,9.445957342659486,19.40056524878515,5.246248575793524,16.829208338215615,7.155727375973488e-06,0.0022095399610812,154.21022284598197,0.2897899118156882,0.0,100.0,100.0,61.40350877192983,1.0619469026548671,22,38.59649122807017,0.0,100.0,0.0,0.05393273349590863,0.0675917183564555,0.10068274286710928,3.028706648250753,5.192526163279535e-05,1.3754663449499305,4.528991951807708,0.28876636832784086,0.22313247450108484,0.37918381384685845,0.6994258791564529,0.2083618996232506,3.298908784702582,2.4519166023255337,2.5061672396726453,0.8017788390518982,12.5728335653442,89.3353941267388,647,0.49470417052247007,1.4411285090643042,0.2872182827967713,0.22318126017051365,0.37918381384685845,0.6994258791564529,0.2083618996232506,0.2121244591528706,0.4977821509656124,0.9273656414849862,0.40273826850458144,2.961062916484947,95.52000000000001,625,0.8807621744274604,3.0867843255497114,1.578801598187659,15.551760498892659,2.70245858543943
AURORA16_003,3,1601003,1.7381345738931957,7.464075012057015e-07,-1.740188182311659e-06,-4.861142887390958e-06,2.874053391398247e-06,0.0002693682186306,0.0009449199856289,-0.0008563432387651,0.0009582663514585,0.0183418433658873,-2.616684300828126,186.077944158248,22.531236377145632,-0.0373814128220343,0.0240451482012849,0.1588444841498222,2.1743387909702103e-05,22.240589827364253,105.07790350357412,6.192707400226277,17.47606141141086,11.4836901530117,17.719871445390385,5.909242589206897e-06,0.0015951400948372,187.45534121911027,0.1649457769129487,0.0,100.0,100.0,8.108108108108109,1.1844331641285957,34,91.8918918918919,0.0,100.0,0.0,0.02350279871106063,0.027684386903170495,0.029615919181238473,2.7586275972561602,1.4769563545843312e-05,1.1748036081655047,4.884150226774372,0.31354015134949537,0.22632916305375542,0.30861179145809386,0.31261458956403415,0.23379158551874624,2.8330204896367057,2.2653602117837583,1.859197167284189,0.5199165568304623,8.992828604244789,85.6093979441997,681,0.3107485548978634,0.9276460324825945,0.07469181726098442,0.22646707117229728,0.30861179145809386,0.31261458956403415,0.23379158551874624,0.35740098382565144,0.2894134064166012,0.2378287731941498,0.23221154708789363,3.1521471273354145,94.43585780525503,647,0.8640550532676412,2.4756195058110544,1.6213683940900392,7.92672829076128,7.817376940200783
AURORA16_004,4,1601004,3.0341180819001154,9.412274217727097e-07,4.865740322526362e-06,2.0356894691611138e-06,2.055113597592643e-06,0.0002592279049894,0.0011690060663003,-0.001453128902782,0.0006736223484317,0.0419474319912169,25.40782303639716,67.77211600677691,-106.54453653400684,-0.1179984722905296,-0.0930045085136862,0.0449648711976395,2.599699388598089e-05,61.48687537817759,108.13094463686178,8.462495687774814,19.002008876864853,11.193108054412145,16.50107882859338,5.6606494680489246e-06,0.0019829084344604,128.80355369604993,0.1568289441034133,0.0,100.0,100.0,50.98039215686274,0.5226480836236934,25,49.01960784313725,0.0,100.0,0.0,0.03883293805549221,0.05401102807509883,0.038377805537961066,2.818701220893814,2.2491965097888377e-05,2.4971317001698528,8.924245230435107,0.6201507695493125,0.35256038180404636,0.5856738869312244,1.4514215163390474,0.32721006682922876,6.129003096635074,4.16493883890358,4.382240310276006,1.6637208252258653,14.649098167127082,88.29787234042553,658,0.733931809396976,2.5331661352799233,0.388900647145585,0.3526566441812535,0.5856738869312244,1.4514215163390474,0.32721006682922876,0.7596243154924651,0.3807861303667764,0.32786076860605573,0.3455592624370569,3.103020462978511,95.10268562401264,633,1.7631998907728768,5.3693787811426095,4.054379541669951,8.0684661768122,13.366162499123307
AURORA16_005,5,1601005,2.32829854902806,4.5772217382649483e-07,4.187816647919674e-06,-2.6798371429971496e-06,-8.53127370391366e-07,0.0003376004934219,-0.0001569673167358,-0.0006911528045977,-0.0013155669568372,0.0149914904444126,168.92509598806868,-141.85235335315878,88.2662105962367,-0.17025021045583,0.1674890420149045,0.119456003334692,3.1035786249854825e-05,39.26915345315899,102.54512197216556,5.076543359828536,19.30360562742562,7.259110226009685,10.661012334379633,5.044517984871418e-06,0.0014943384341402,237.58935611560304,0.2670345484914317,0.0,100.0,100.0,56.666666666666664,0.9523809523809524,13,43.333333333333336,0.0,100.0,0.0,0.021882767687516198,0.027471574939900698,0.034161123048325116,3.0600998462457754,1.779045775945974e-05,1.1610902181355878,4.918974577164932,0.2947569598309817,0.2224788195595468,0.3786813891072612,1.902129325433771,0.23147486903676895,2.1726662320187278,2.0983323149696553,0.6302035354625443,0.3475223302615324,6.894076954650406,90.18492176386913,703,0.7821599439895793,3.3133206115993032,0.24424008163051558,0.2225263139510699,0.3786813891072612,1.902129325433771,0.23147486903676895,0.3233128717353692,0.2681116523146474,0.17178965287662235,0.2055296789119204,2.9536398019027055,95.21739130434783,690,0.37893027414600844,1.8493533602833585,0.4584138825859219,6.720011549051625,3.668460381110091
AURORA16_006,6,1601006,3.773050726031773,7.704938199142795e-07,-1.4342855363022574e-06,-2.377279435264595e-06,1.620735761073509e-06,0.0002799819429909,-0.0015716532488745,0.0006615207628022,-0.0014184374562406,0.0347118245850703,179.54893501899852,-57.277150878009735,-61.38627208033285,-0.109191095203589,0.1345873490224527,0.0298888505196161,3.390189264808038e-05,26.826819388319223,101.8092446375846,9.63570786324155,13.05599875420914,8.503847454566365,15.96069862500427,3.2148743241688822e-06,0.0022180325677462,198.2088960644287,0.1758686816179467,0.0,100.0,100.0,15.517241379310345,0.6589785831960462,49,84.48275862068965,0.0,100.0,0.0,0.03323189226666831,0.032112031855227534,0.05498704631419973,2.425902638781106,2.8426790236675994e-05,2.119397871554254,9.278710172381507,0.5508110913460871,0.3852632252893528,0.5519694922638998,0.843468025812707,0.3173450123419313,5.432937804702433,4.366324705224925,1.606889566174653,0.9443134478181228,5.322046401518347,84.21787709497207,716,0.6080025641865059,1.3941080716739462,0.4149848418066003,0.3854977050017043,0.5519694922638998,0.843468025812707,0.3173450123419313,0.595006063440189,0.6602983304955552,0.4579397661508108,0.43514575398381766,3.0974726458210444,94.45277361319341,667,1.511395307367748,4.837931741262244,1.1489498000238423,9.13089485725646,3.5089539824883103
AURORA16_007,7,1601007,1.868262343298196,3.744772429697052e-07,-1.6994336390096913e-06,-1.9592111186466767e-06,-3.975845926913675e-06,0.0003793214534247,-0.0007933590209624,0.0005335918291212,0.000297201498756,0.010536777814197,187.10717750832464,79.14273400419347,60.18627837613303,-0.1481720215521071,-0.0405484267202795,0.0393117045726152,1.701775524029136e-05,13.762837188726785,107.26727146250111,7.12487538551432,14.760997062074074,6.693673349770759,18.491000329655364,4.746992072395165e-06,0.0010012329934187,211.884535361974,0.1585702777847493,0.0,100.0,100.0,0.0,0.33500837520938026,43,100.0,0.0,100.0,0.0,0.023296145561598636,0.040929117069441336,0.036656324071266184,2.7638339220677572,2.2006022041692292e-05,0.7358631598457849,2.8064511702670814,0.5454385884172742,0.20196640070229863,0.30416834310358964,0.4593244992551181,0.18750927996421435,1.6520702965450698,1.5375951510492434,1.0187223736691726,0.7050363417869631,5.2443110771264845,88.39541547277938,698,0.2962834764249288,0.8634372383201822,0.33892573966700573,0.20212068656717536,0.30416834310358964,0.4593244992551181,0.18750927996421435,0.18453443345211953,0.26509400823953533,0.3152570005202642,0.26879705993782743,2.9887866826117957,95.41984732824427,655,0.43957968342085607,1.4675358630929503,0.7034653731489084,8.952639708695484,3.231402861754028
AURORA16_008,8,1601008,2.014519114840588,4.938923744860204e-07,-2.970734940532272e-06,7.88134780528527e-07,-3.5154409001520568e-06,0.000419181421,-0.001986009375188,-0.0016918586181145,0.0004836402721546,0.0104740798113398,124.86374605606876,26.55007903618926,38.25844913459696,0.0628655016919856,0.069518080354409,0.0313939056976813,1.0328254481626611e-05,58.54692274368483,109.85391983208692,5.67345330277798,12.65919263548329,5.8931415940875045,19.488208206202955,4.669555358022853e-06,0.0026533990907651,133.26503932452377,0.0988453950070615,0.0,100.0,100.0,76.47058823529412,1.468189233278956,8,23.52941176470588,0.0,100.0,0.0,0.04176230813446443,0.04846523330437458,0.09832794967068616,3.089369116568885,7.218256977556849e-06,0.8175386718210456,2.440358123792429,0.30467898905687346,0.23464918054193068,0.44064183474132845,1.2729313948573382,0.2704114611958838,1.6877802011667595,1.3311647698641509,1.1578918244119203,0.5076504058390654,10.852129515691525,93.08823529411765,680,0.49365898645916334,2.071742739195622,0.11586234780544948,0.2346809577722025,0.44064183474132845,1.2729313948573382,0.2704114611958838,0.16128702640179698,0.2152789812078772,0.0595852564859228,0.14007778535681856,3.0775308977179257,94.34523809523809,672,0.3238796853618822,1.5264931747649626,1.0983065679259976,10.464451101988667,19.432522283183857
AURORA16_009,9,1601009,5.246188124242464,3.394600890282565e-07,2.644612458058437e-06,-3.690319172163856e-06,3.073017536737533e-06,0.0005221832267897,-0.0015595951901867,-0.0014071744805712,-0.0015759381319408,0.0412792729048852,64.15454062195198,6.909113594352505,84.20488532619521,0.1918482927675166,-0.112611215991348,-0.0649887277144718,2.5877997129510464e-05,24.63505964397285,104.25630553405875,7.554927354283901,10.960025844700857,14.878868682723986,13.739497444026902,5.482323177892236e-06,0.0026260346859342,106.0848888667516,0.2317554489862246,0.0,100.0,100.0,4.444444444444445,0.9287925696594427,43,95.55555555555556,0.0,100.0,0.0,0.043942681382110514,0.05709775244457236,0.03819056904711506,2.6261736215671845,3.097043916193334e-05,1.5599683329191303,5.839653830141038,0.5528708793652978,0.40693244406684487,0.6043961288444547,2.1416822450091435,0.8319982307498112,3.5143363888139785,2.875295319684838,0.975600310715912,0.6845581625739092,3.777322866791414,90.3871829105474,749,0.9602863805935048,3.267384248838553,0.22540227212803235,0.4074065638580208,0.6043961288444547,2.1416822450091435,0.8319982307498112,0.3081839444926265,0.3681180570727194,0.5951319278829461,0.2525195050075045,2.885791671709341,95.04249291784703,706,0.5996819523256255,3.206152444321352,0.3804683828329659,11.403372731177635,1.6393009096090683
