altitude_km,scenarios,visible_mean,visible_min_worst,availability_ge4_mean,availability_ge6_mean,availability_ge6_min,pdop_mean,pdop_p95_mean,pdop_p95_worst,longest_below6_worst_min
400.0,36,13.177598083258461,12,100.0,100.0,100.0,1.0959070157421853,1.6564633219072042,1.702181954383486,0.0
550.0,36,13.827763310185185,12,100.0,100.0,100.0,1.024974129179151,1.5630382820278508,1.6934892089405345,0.0
700.0,36,14.36574074074074,12,100.0,100.0,100.0,0.9715837206846049,1.3464944235440253,1.6880793697409346,0.0
