metric,friedman_statistic,p_value,kendalls_w,phase_mean_range,relative_phase_range_percent,significant_0p05
outage_rmse_m,4.416666666666657,0.7307273820956937,0.07886904761904745,0.4231918306699467,61.111735203921555,False
outage_end_error_m,5.208333333333314,0.6345559196191344,0.09300595238095204,0.7165807710146228,68.25769961980114,False
post_recovery_rmse_m,6.75,0.4553657424854666,0.12053571428571429,0.11018313974030203,24.3121977153427,False
pre_outage_pdop,56.0,9.443899767461988e-10,1.0,0.18024845454138805,20.409415872704596,True
