phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,navigation_estimator_requested_start_min,navigation_estimator_start_min,navigation_estimator_start_index,navigation_estimator_age_at_outage_min,navigation_estimator_active_pre_outage_epochs,navigation_estimator_updates_before_outage,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_estimator_age_min,experiment_estimator_start_min,experiment_outage_start_min,experiment_outage_end_min,experiment_outage_duration_min,fixed_initial_true_anomaly_deg,estimator_control_kind,estimator_control_name,estimator_control_mode,estimator_control_value
PHASE_000,0.0,0,170500,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189212196923,10.0,0.7407407407407408,,,4.89743467000756,0.8371618338034914,8.862757532844395,0.9467149185201607,8.070425547328123,0.6532495257126996,0.11696060089347612,2.9711352890908627,96.04166666666667,0.03052879065533932,0.04883205630088059,5.0,55.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,55.0
PHASE_000,0.0,0,170500,550.0,97.6,60.0,75.0,15.0,45.0,45.0,270,15.0,90,88,0.0,12,14.028395061728395,16,0.8251189212196923,10.0,0.7407407407407408,14.935976986953778,,1.2791659187099924,0.2402039872919295,2.5714070834939293,0.6740625843736989,5.6964695144524,0.6270769578164157,0.07425612950079828,2.946574145972615,94.43413729128015,0.03052879065533932,0.04883205630088059,15.0,45.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,45.0
PHASE_000,0.0,0,170500,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,178,0.0,12,14.028395061728395,16,0.8251189212196923,10.0,0.7407407407407408,0.46731509507286567,,1.1017654059430222,0.42307043978658004,1.9300244935808137,0.5624247301324875,2.6660776570377016,0.40594856632862003,0.04885744830887577,2.949187157738949,93.95866454689984,0.03052879065533932,0.04883205630088059,30.0,30.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,30.0
PHASE_000,0.0,0,170500,550.0,97.6,60.0,75.0,15.0,15.0,15.0,90,45.0,270,268,0.0,12,14.028395061728395,16,0.8251189212196923,10.0,0.7407407407407408,0.30674555864729175,,0.2192362664674597,0.1813583926268907,0.32895798067172033,0.4622853219688837,1.6218870599620738,0.34452406127380736,0.11406433492265626,2.958643133502934,94.57579972183588,0.03052879065533932,0.04883205630088059,45.0,15.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,15.0
PHASE_000,0.0,0,170500,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,358,0.0,12,14.028395061728395,16,0.8251189212196923,10.0,0.7407407407407408,0.3235564808797084,0.45379391414088577,0.4637943725376919,0.3477060525931168,0.5381182711020165,0.39053038511252114,1.1339370944369456,0.2495984351883801,0.1276761366839417,3.0137352586141426,94.6847960444994,0.03052879065533932,0.04883205630088059,60.0,0.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,0.0
PHASE_000,0.0,1,170501,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189168891157,10.0,0.9876543209876543,,,3.0789647551888013,0.4474713660476213,5.605678971412326,0.9467149258102384,8.070382742602233,0.5823962992986421,0.24131701672581654,3.060627768337457,94.79166666666666,0.10057850950414696,0.1819363643684628,5.0,55.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,55.0
PHASE_000,0.0,1,170501,550.0,97.6,60.0,75.0,15.0,45.0,45.0,270,15.0,90,89,0.0,12,14.028395061728395,16,0.8251189168891157,10.0,0.9876543209876543,14.942978310038644,,0.49361119474508836,0.2785334493809854,1.0797858780641945,0.6738734895318211,5.6822739664967585,0.5242353288443096,0.3440175987652856,3.1054469359116745,93.33333333333333,0.10057850950414696,0.1819363643684628,15.0,45.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,45.0
PHASE_000,0.0,1,170501,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.8251189168891157,10.0,0.9876543209876543,0.5782099494227138,,0.31501618712873536,0.2663266887675791,0.5032352475282257,0.5621557719106726,2.666268255553883,0.43890654509027305,0.28657494463710104,3.07618700972362,93.65079365079364,0.10057850950414696,0.1819363643684628,30.0,30.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,30.0
PHASE_000,0.0,1,170501,550.0,97.6,60.0,75.0,15.0,15.0,15.0,90,45.0,270,269,0.0,12,14.028395061728395,16,0.8251189168891157,10.0,0.9876543209876543,0.36016012411514337,,0.7784484680449371,0.3308236455203224,1.39809248720812,0.46135410237803176,1.6204420116316498,0.4535972813901141,0.2713269964235707,3.0548056976866103,93.75,0.10057850950414696,0.1819363643684628,45.0,15.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,15.0
PHASE_000,0.0,1,170501,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189168891157,10.0,0.9876543209876543,0.5632437873539553,0.5660706395658499,0.7423468513454619,0.49017978746334656,1.0783339562711673,0.3894732123752571,1.1320242085156846,0.40980213298335705,0.27194296612586305,3.0287189646809654,94.07407407407408,0.10057850950414696,0.1819363643684628,60.0,0.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,0.0
PHASE_000,0.0,2,170502,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189189081358,10.0,0.49382716049382713,,,5.482817819595434,1.6297893782027868,8.728179221358856,0.946714935954556,8.070422985551803,0.6866601513022687,0.6905896648825234,3.05268942732793,93.54166666666667,0.050453489299565224,0.07787402022023465,5.0,55.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,55.0
PHASE_000,0.0,2,170502,550.0,97.6,60.0,75.0,15.0,45.0,45.0,270,15.0,90,89,0.0,12,14.028395061728395,16,0.8251189189081358,10.0,0.49382716049382713,14.93816261199094,,4.323808898361083,1.1987550169269303,7.270430804679632,0.6738531655875614,5.682316680011351,0.745067606898528,0.5464608054593568,3.086262609112783,93.14814814814815,0.050453489299565224,0.07787402022023465,15.0,45.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,45.0
PHASE_000,0.0,2,170502,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.8251189189081358,10.0,0.49382716049382713,0.5339632719901152,,2.742890104768145,0.8990237800622191,4.715225367316203,0.5620843858551321,2.6652000368993938,0.7883094734499492,0.49171675348217625,3.0671813188299746,93.65079365079364,0.050453489299565224,0.07787402022023465,30.0,30.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,30.0
PHASE_000,0.0,2,170502,550.0,97.6,60.0,75.0,15.0,15.0,15.0,90,45.0,270,269,0.0,12,14.028395061728395,16,0.8251189189081358,10.0,0.49382716049382713,0.6220852386397117,,1.9238369055441003,0.752016894309105,3.1880031748040545,0.4613171126734333,1.6202492200116867,0.6303914347767685,0.45882499256447346,3.0410315255216824,93.88888888888889,0.050453489299565224,0.07787402022023465,45.0,15.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,15.0
PHASE_000,0.0,2,170502,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189189081358,10.0,0.49382716049382713,0.5326219636799753,0.6355583837256009,1.4772555544496753,0.6674027924723631,2.3289854946460693,0.38939869640734287,1.1319433852058005,0.5357077777162925,0.4658217353990863,3.0129808550571666,94.69135802469137,0.050453489299565224,0.07787402022023465,60.0,0.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,0.0
PHASE_000,0.0,3,170503,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189093167984,10.0,0.9876543209876543,,,3.727777684893009,1.026000581977337,6.564700037902452,0.9467683318709097,8.070736371767483,0.6316580829829749,0.09083957618131273,2.918298243892939,94.79166666666666,0.12782153827332332,0.1571452738491467,5.0,55.0,60.0,75.0,15.0,0.0,function_parameter,estimator_start_min,start_min,55.0
