experiment_outage_start_min,runs,visible_mean,pre_outage_pdop_mean,pre_outage_pdop_std,pre_outage_update_age_mean_s,pre_outage_rmse_mean,pre_outage_rmse_std,pre_outage_rmse_valid_runs,outage_start_error_mean,outage_rmse_mean,outage_rmse_std,outage_end_error_mean,outage_end_error_std,outage_start_sigma_mean,outage_end_sigma_mean,post_recovery_rmse_mean,post_recovery_rmse_std,post_recovery_valid_runs,attitude_outage_rmse_mean_deg,navigation_nis_mean,healthy_false_alarm_mean,experiment_outage_end_min
15.0,8,14.011111111111113,1.0448021616841636,3.118357330696704e-08,10.0,,,0,0.6725506620873054,2.3059930711742567,0.9831622295877773,4.030356849578431,1.8451075924817444,0.8297868166643646,6.244061249473816,0.48791732066726506,0.03006103888888802,8,0.09783919472268149,3.0203892928574008,1.1419753086419753,30.0
30.0,8,14.090123456790124,0.8983764763746069,1.4872545325785596e-08,10.0,,,0,0.36092242922724893,1.081548743207575,0.5618290649056705,1.8369473813911688,1.0553739625770242,0.5947699069183052,2.875060247163557,0.437737022309299,0.047565388752804416,8,0.06759688041541514,3.0011449411736844,1.0493827160493827,45.0
45.0,8,13.892592592592592,0.8788546521139604,2.0071456536604515e-08,10.0,,,0,0.5570324455233842,1.1727792115973252,0.5335313261721364,1.8379759921030951,0.9000538062672069,0.5309897897273431,1.769555782735886,0.4820378289050842,0.12105794543872674,8,0.06615749942007798,3.014137637395296,1.0185185185185186,60.0
60.0,8,14.028395061728396,0.8251189201927177,8.918493008220864e-09,10.0,0.3781935112780599,0.11077216791296345,8,0.28520497135073825,0.5457472907868229,0.23217782378024748,0.8341803148281591,0.4102133208103913,0.3895054922966785,1.1322209398772245,0.41241230705479176,0.10527449829867315,8,0.08356966933891558,3.0010909808724824,1.095679012345679,75.0
75.0,8,13.946913580246914,0.8984254370258784,2.4888311927698523e-08,10.0,0.38002613712390915,0.1340825921791113,8,0.3223071728203975,0.5556613976245826,0.3205157845101478,0.8056607890551525,0.5320816859271367,0.37639492156874266,0.9675721595667058,,,0,0.0638321017595922,3.038833119045949,1.0339506172839505,90.0
90.0,8,13.98148148148148,0.8306697259381685,1.8288548755524984e-08,10.0,0.36593082207622807,0.10188241888308656,8,0.3135588981491315,0.4958740532156267,0.2129209208688806,0.702686018629261,0.3626482775001907,0.30177066357214266,0.7040469759692805,,,0,0.07347954206722174,3.050806480397227,1.0339506172839505,105.0
105.0,8,14.185185185185183,1.1843126088426819,0.01723411472553675,10.0,0.34513745706841636,0.07770178092325523,8,0.19028713253448,0.30350037128815244,0.17440379890854615,0.41901164781449635,0.271970306345812,0.2806555245836226,0.6209553781862794,,,0,0.05649918247276551,3.060031998093381,1.0802469135802468,120.0
120.0,8,14.023456790123456,1.1881687422503424,8.221740739336084e-08,10.0,0.33065964224006783,0.06346082338192441,8,0.207509214271821,0.3541983464819676,0.12320316776357172,0.527289699531972,0.20859313227109474,0.302749448552108,0.6483991916688187,,,0,0.061859775087435676,3.0359914543741606,1.0802469135802468,135.0
