scenario_id,pseudorange_noise_std_m,accelerometer_noise_std_mps2,accelerometer_bias_x_mps2,accelerometer_bias_y_mps2,accelerometer_bias_z_mps2,gyro_noise_std_degps,gyro_bias_x_degps,gyro_bias_y_degps,gyro_bias_z_degps,star_tracker_noise_std_deg,initial_position_error_x_m,initial_position_error_y_m,initial_position_error_z_m,initial_velocity_error_x_mps,initial_velocity_error_y_mps,initial_velocity_error_z_mps,non_gravitational_acceleration_mps2,fault_magnitude_m,fault_start_min,fault_duration_min,gnss_outage_duration_min,star_tracker_outage_duration_min,dual_outage_duration_min,protected_mission_rmse,protected_low_redundancy_rmse,protected_dual_outage_rmse,protected_nis_mean,gain_mission_rmse_m,gain_dual_rmse_m,fdir_pd,hybrid_pd,hybrid_pfa,hybrid_minus_fdir_pd,accelerometer_bias_norm_mps2,gyro_bias_norm_degps,initial_position_error_norm_m,initial_velocity_error_norm_mps,fault_to_noise_ratio
AURORA16_031,2.0316290961341106,3.363239609669975e-07,-2.045481293253851e-06,3.541908716258528e-06,-3.833721914302327e-06,0.000263615059339,0.0007055114821319,0.0003762305223185,-0.0001189033097166,0.0188814029102725,-195.93365421410056,151.08302487525611,-5.510492524581053,-0.0496595961971964,-0.0290877534878246,0.1031310816739793,3.280741128084288e-05,40.92955407311244,109.47356729448884,7.06740873053142,13.88464203917242,6.366932968807447,11.613255619416766,0.37351319155036,0.5018885133388493,0.4042155935110556,3.221650855207208,0.7292434558490593,1.0852612020625425,44.18604651162791,79.06976744186046,1.4925373134328357,34.88372093023256,5.60593745876294e-06,0.0008083525557611377,247.48018665544004,0.11810246781791668,20.146174393246937
AURORA16_032,2.417627901389928,8.918329536797705e-07,-4.812046842772443e-07,6.683584184844579e-07,1.0033130454882552e-06,0.0005178055870372,-0.0001190198835391,0.000282893490052,0.0011563932175404,0.0227264246321695,101.92181738061409,170.35084221201663,-145.60919426104826,-0.1804470722672273,-0.1481831246741486,0.0188484367772449,2.8165946742413035e-05,33.20776352495664,101.90339830758502,9.303987196930336,10.67866637269906,12.613862505326118,15.505753384912676,0.4594918517065977,0.2500435984183833,0.2359283884142957,3.109046247315139,1.435035291302543,1.9117125690102008,37.5,50.0,1.4925373134328357,12.5,1.2980362055722197e-06,0.001196427905460626,246.18997492558938,0.2342533839605183,13.735680129214687
AURORA16_033,2.545141755092127,3.1549992886670946e-07,-3.767772418414564e-06,2.4193612766142774e-06,4.503086920010355e-06,0.0003176500780555,-0.0008322521012405,-0.0002453316845288,-0.0005542266220047,0.028859910353141,-101.38095521349796,-171.86345839940884,-164.4568149060072,-0.0046095460773497,0.0434137830494095,0.0738474144873595,2.8484872513731756e-05,44.79961113288986,102.73424090717664,6.14411759563818,11.101981197590524,13.711063768389414,19.81358797450639,0.3783978786634101,0.2071330269521782,0.0766082617071919,3.1969189920970527,1.0284548577646897,0.9058915392479364,54.054054054054056,97.2972972972973,1.4925373134328357,43.24324324324325,6.350370839007321e-06,0.0010295622098696643,258.57530891799263,0.0857872082548924,17.60201019972981
AURORA16_034,3.2624767423454584,2.865905713561698e-07,1.0151557093315238e-06,4.833699271778621e-06,-4.813732186682774e-06,0.0008183922750606,0.0016116639720155,0.0017593068558323,0.0016639117588018,0.0363403419016751,-50.528867967364135,177.38073202499277,45.03102426174573,-0.0825015823297426,-0.1691968034146461,0.1465160994957476,1.6502234806479895e-05,45.69850407580744,100.8256705906289,7.723673747801824,10.275621757071534,11.788623828394831,11.22432581137326,0.5729028679643344,0.6200482538761519,0.3115094906189244,3.1028200003306337,0.808717897876783,0.4550157290942542,55.319148936170215,89.36170212765957,2.985074626865672,34.042553191489354,6.89689838472971e-06,0.002908818267398328,189.8549018009478,0.23853938204014344,14.007304169455594
AURORA16_035,1.9049950795650843,6.395358537579609e-07,3.978038544911553e-06,-1.6531757764236282e-06,1.3967754332617824e-06,0.0002919477812099,0.000901197383151,-0.0018829614241552,0.0011223170168796,0.0126621662986361,135.94519371050558,-52.08078408558043,-151.3871406219451,0.0697561425406235,0.1773195660445151,-0.0593299684563645,2.9924598346573928e-05,43.2374031701688,108.95544807576258,5.3282082679644125,16.502433868196345,8.811155802341347,15.171235756747006,0.5367243686927021,0.3780330933369377,0.2510745466897333,2.9562423309729704,0.547450712610472,1.2800883327029406,40.625,87.5,1.4925373134328357,46.875,4.528660113490472e-06,0.0023700835290411844,210.02754607347177,0.19957002049755906,22.69685818823218
AURORA16_036,5.807967479587837,7.911889716897353e-07,1.7779446942913549e-06,4.666121534531189e-07,3.5891379508623235e-06,0.000791685156642,-0.0005247111209185,0.0019199003823972,0.0018334213108694,0.0212760256042542,-137.85462708446337,-186.20279458083945,-65.38287559964701,-0.0300240282922059,-0.1831610477740073,-0.0987374902847603,2.4087907856213232e-05,54.33568267572572,109.27158667142508,9.57451949194298,13.64098749194411,13.35995144892828,10.407787464220007,1.1291013733597537,1.097156639798506,0.6410705741755246,3.0221127796763545,2.1236924232625327,3.746372269494293,22.41379310344828,84.48275862068965,10.44776119402985,62.068965517241374,4.032458985287902e-06,0.0027060622575791806,240.7286840822873,0.2102344017621676,9.355369648106512
AURORA16_037,5.323783722803921,3.0975551395061456e-07,3.3849093691391463e-06,5.304760151554079e-07,4.0138259567015975e-06,0.0003300377045689,0.0012420286366154,-0.0011194304228895,-0.0008998602676372,0.0155828473751593,154.15665303077105,136.00318958540214,-45.75981247599324,-0.1623123588941425,0.0109900462612012,0.1955709084691837,1.1173626881868912e-05,37.86427878933631,106.94150552495024,6.757253748560947,13.279301855213166,9.181033781498405,14.273059329878464,0.7837563383964896,0.1967831693086923,0.1133082834461312,2.8897187400251974,1.0066801521399944,1.387662836313511,4.878048780487805,65.85365853658537,8.208955223880597,60.97560975609757,5.277292397682037e-06,0.0018988175549892537,210.6065091322926,0.2543895894215526,7.112287192875299
AURORA16_038,4.146904826324347,3.779746913016664e-07,-4.128466677573782e-06,1.359148610061144e-06,-2.552648986530624e-06,0.0009506584698447,-0.0016466948862135,-0.001275345949942,0.0005864198447436,0.0472314810406109,158.68743684351682,145.04524666374283,115.20211154978858,0.1981441618121044,0.1840050192329519,-0.1374921295702125,1.979779123941584e-05,72.02425894927622,100.973718801253,6.494770867422857,13.542363421715043,7.079047520925252,18.047512049758552,0.7708099011261713,0.3378205994377933,0.4568928539670693,3.054989093638294,0.9029210117754009,0.0114125937300737,74.35897435897436,100.0,8.208955223880597,25.641025641025635,5.040589142203922e-06,0.0021637928677727594,243.90849246641878,0.3033529984306938,17.368196755341426
AURORA16_039,4.264953323879115,4.139566150288893e-07,-1.1686775999424047e-06,-1.3565225387992638e-07,-5.707397303017388e-07,0.0005629172320354,-0.0003538635498795,-0.0003011025680184,0.0008669518299594,0.0144999124813753,-9.570692694219474,84.90167268080017,-8.899985700436304,0.0998177274123177,0.0765919272964475,0.1799597533470794,1.4358198143595756e-05,30.12297703536673,101.68250152006452,7.619199622302164,18.800264377465,6.235017480526016,13.587024726778267,0.8236104266941882,0.2248662550024846,0.5056296965469983,2.913550487567653,0.7953155730703063,0.5338486633775618,17.77777777777778,55.55555555555556,2.238805970149253,37.77777777777778,1.3076515997522983e-06,0.000983609497651659,85.90169921551545,0.21958008757053932,7.062908957692624
AURORA16_040,4.169093852295141,6.573848097598501e-07,3.072444031141567e-06,-2.8232127909744614e-06,4.708691995481433e-06,0.0002889673397819,-0.0013569967350104,-0.0019488398297799,0.0014417632218978,0.0221885140929364,-31.28587305908536,-24.23729898042376,133.80935706671767,0.0429245711762194,0.0885564489499349,-0.0440492796183787,1.83263627254738e-05,60.24134732712365,104.88313171258358,9.502987298939278,18.4067343574288,7.744277873404844,14.56887227953087,0.9031043443778476,0.6942633821007455,0.5747347093376362,2.983949117524664,2.638731419161877,2.8365852358134087,17.543859649122805,100.0,2.238805970149253,82.45614035087719,6.291440462718388e-06,0.002778146506032855,139.5392294429921,0.10781976857785805,14.44950616642031
