inclination_deg,scenarios,visible_mean,visible_min_worst,availability_ge4_mean,availability_ge6_mean,availability_ge6_min,pdop_mean,pdop_p95_mean,pdop_p95_worst,longest_below6_worst_min
0.0,18,13.512779411364317,12,100.0,100.0,100.0,1.2318442050622034,1.689874974838473,1.702181954383486,0.0
30.0,18,13.845222532206613,12,100.0,100.0,100.0,1.0120721720394554,1.6196176173217849,1.6959294306011734,0.0
60.0,18,13.818515708428247,12,100.0,100.0,100.0,0.979579867427212,1.5198148568131278,1.6598725166323132,0.0
75.0,18,13.84451154864382,12,100.0,100.0,100.0,0.9875320301012235,1.4848786105460983,1.651759133249143,0.0
90.0,18,13.868754993877833,12,100.0,100.0,100.0,0.9868319837048356,1.4024962433061021,1.6519421968060102,0.0
97.6,18,13.852420073847943,12,100.0,100.0,100.0,0.9870694728769523,1.4153097521325746,1.6475581951412948,0.0
