noise_quartile,scenarios,noise_min_m,noise_mean_m,noise_max_m,fdir_pfa_mean,ai_pfa_mean,hybrid_pfa_mean,fdir_pd_mean,ai_pd_mean,hybrid_pd_mean
Q1 lowest noise,16,1.5095422431739665,1.7884271714310138,2.114769205694242,0.9794776119402984,0.6996268656716418,1.1660447761194028,48.87179817559896,63.259186051595854,66.47621086061403
Q2,16,2.133304563227971,2.531542942645642,2.9610429854882128,0.7462686567164178,0.18656716417910443,0.8861940298507462,31.73008265494061,58.05778055026548,60.568061008449995
Q3,16,3.0341180819001154,3.586994459964632,4.169093852295141,1.1660447761194028,3.0783582089552235,3.3582089552238803,35.72987986607765,71.42457663355276,72.53736384456577
Q4 highest noise,16,4.264953323879115,5.075527499043927,5.9680207194293,0.9328358208955223,4.337686567164178,4.477611940298507,17.321917507912687,49.074524159565556,51.0473970173026
