output_metric,parameter,spearman_rho,absolute_rho,p_value,samples,q_value,fdr_significant_0p10,rank_abs_rho
protected_mission_rmse,accelerometer_bias_norm_mps2,0.07967032967032966,0.07967032967032966,0.5314482956093542,64,0.6643103695116928,False,4
protected_mission_rmse,gyro_bias_norm_degps,0.3148351648351648,0.3148351648351648,0.011282218665808292,64,0.02820554666452073,True,2
protected_mission_rmse,initial_position_error_norm_m,-0.11254578754578753,0.11254578754578753,0.3759201549539936,64,0.6265335915899893,False,3
protected_mission_rmse,initial_velocity_error_norm_mps,0.018269230769230767,0.018269230769230767,0.8860649561950338,64,0.8860649561950338,False,5
protected_mission_rmse,fault_to_noise_ratio,-0.36277472527472526,0.36277472527472526,0.0032183921119234263,64,0.016091960559617133,True,1
protected_low_redundancy_rmse,accelerometer_bias_norm_mps2,0.08878205128205126,0.08878205128205126,0.4854040401546564,64,0.4854040401546563,False,5
protected_low_redundancy_rmse,gyro_bias_norm_degps,0.2896978021978021,0.2896978021978021,0.02023630009058143,64,0.08864451952792297,True,1
protected_low_redundancy_rmse,initial_position_error_norm_m,-0.11277472527472526,0.11277472527472526,0.3749436432959505,64,0.4686795541199381,False,4
protected_low_redundancy_rmse,initial_velocity_error_norm_mps,-0.26341575091575087,0.26341575091575087,0.03545780781116919,64,0.08864451952792297,True,2
protected_low_redundancy_rmse,fault_to_noise_ratio,-0.13800366300366299,0.13800366300366299,0.27682331516621644,64,0.4613721919436941,False,3
protected_dual_outage_rmse,accelerometer_bias_norm_mps2,0.12857142857142856,0.12857142857142856,0.3112947047061798,64,0.518824507843633,False,3
protected_dual_outage_rmse,gyro_bias_norm_degps,0.31263736263736264,0.31263736263736264,0.01189652015838593,64,0.031451770410043926,True,1
protected_dual_outage_rmse,initial_position_error_norm_m,0.02312271062271062,0.02312271062271062,0.8560849769428939,64,0.945033530976439,False,4
protected_dual_outage_rmse,initial_velocity_error_norm_mps,0.00879120879120879,0.00879120879120879,0.9450335309764392,64,0.945033530976439,False,5
protected_dual_outage_rmse,fault_to_noise_ratio,-0.3103021978021978,0.3103021978021978,0.012580708164017572,64,0.031451770410043926,True,2
protected_nis_mean,accelerometer_bias_norm_mps2,0.076510989010989,0.076510989010989,0.5479025869681445,64,0.6293067320882979,False,3
protected_nis_mean,gyro_bias_norm_degps,-0.09807692307692308,0.09807692307692308,0.4406993570935754,64,0.6293067320882979,False,2
protected_nis_mean,initial_position_error_norm_m,-0.1043040293040293,0.1043040293040293,0.4120867505670451,64,0.6293067320882979,False,1
protected_nis_mean,initial_velocity_error_norm_mps,-0.06149267399267398,0.06149267399267398,0.6293067320882979,64,0.6293067320882979,False,5
protected_nis_mean,fault_to_noise_ratio,-0.07005494505494504,0.07005494505494504,0.5822711600047077,64,0.6293067320882979,False,4
gain_mission_rmse_m,accelerometer_bias_norm_mps2,0.04787142710280558,0.04787142710280558,0.7071854068451995,64,0.958903809418824,False,3
gain_mission_rmse_m,gyro_bias_norm_degps,0.05487700180077711,0.05487700180077711,0.6666951299347375,64,0.958903809418824,False,2
gain_mission_rmse_m,initial_position_error_norm_m,-0.006570588033718412,0.006570588033718412,0.9589038094188239,64,0.958903809418824,False,5
gain_mission_rmse_m,initial_velocity_error_norm_mps,-0.023535067939590686,0.023535067939590686,0.8535465444635678,64,0.958903809418824,False,4
gain_mission_rmse_m,fault_to_noise_ratio,0.1827859751261596,0.1827859751261596,0.14826745626603574,64,0.7413372813301787,False,1
gain_dual_rmse_m,accelerometer_bias_norm_mps2,0.06930024382601266,0.06930024382601266,0.5863520115353669,64,0.9881103369345416,False,2
gain_dual_rmse_m,gyro_bias_norm_degps,-0.0019002049017373805,0.0019002049017373805,0.9881103369345416,64,0.9881103369345416,False,5
gain_dual_rmse_m,initial_position_error_norm_m,-0.023374809694865852,0.023374809694865852,0.8545329047323118,64,0.9881103369345416,False,4
gain_dual_rmse_m,initial_velocity_error_norm_mps,-0.06305017228174394,0.06305017228174394,0.620633323374735,64,0.9881103369345416,False,3
gain_dual_rmse_m,fault_to_noise_ratio,0.2700580363963149,0.2700580363963149,0.0309155952997245,64,0.15457797649862248,False,1
fdir_pd,accelerometer_bias_norm_mps2,-0.049293114384449215,0.049293114384449215,0.6988983657903884,64,0.8736229572379856,False,4
fdir_pd,gyro_bias_norm_degps,-0.009821990743580453,0.009821990743580453,0.9386004067169462,64,0.9386004067169462,False,5
fdir_pd,initial_position_error_norm_m,0.122236849836774,0.122236849836774,0.33593109407833044,64,0.5598851567972174,False,3
fdir_pd,initial_velocity_error_norm_mps,0.2695438159071624,0.2695438159071624,0.031248901037737864,64,0.07812225259434466,True,2
fdir_pd,fault_to_noise_ratio,0.822872189545513,0.822872189545513,7.341981151134751e-17,64,3.6709905755673755e-16,True,1
hybrid_pd,accelerometer_bias_norm_mps2,0.02878169437353183,0.02878169437353183,0.8213863959971592,64,0.9168499546011241,False,4
hybrid_pd,gyro_bias_norm_degps,-0.013312107445493191,0.013312107445493191,0.9168499546011241,64,0.9168499546011241,False,5
hybrid_pd,initial_position_error_norm_m,0.047556356253554984,0.047556356253554984,0.7090265919940948,64,0.9168499546011241,False,3
hybrid_pd,initial_velocity_error_norm_mps,0.16238475892562815,0.16238475892562815,0.19984179390183543,64,0.4996044847545886,False,2
hybrid_pd,fault_to_noise_ratio,0.8600080447976377,0.8600080447976377,8.938968854645575e-20,64,4.469484427322788e-19,True,1
hybrid_pfa,accelerometer_bias_norm_mps2,-0.19481439767459136,0.19481439767459136,0.12292312326923141,64,0.20487187211538568,False,3
hybrid_pfa,gyro_bias_norm_degps,0.30969243839606414,0.30969243839606414,0.012764862169458565,64,0.06382431084729283,True,1
hybrid_pfa,initial_position_error_norm_m,0.035522110409024525,0.035522110409024525,0.7805027492301213,64,0.7805027492301213,False,5
hybrid_pfa,initial_velocity_error_norm_mps,0.038726065465524775,0.038726065465524775,0.7612677468079537,64,0.7805027492301213,False,4
hybrid_pfa,fault_to_noise_ratio,-0.20396192153155582,0.20396192153155582,0.10596905818095195,64,0.20487187211538568,False,2
hybrid_minus_fdir_pd,accelerometer_bias_norm_mps2,0.09266506695196132,0.09266506695196132,0.4664429041290119,64,0.865990207675822,False,2
hybrid_minus_fdir_pd,gyro_bias_norm_degps,0.061532172117531966,0.061532172117531966,0.6290861503527988,64,0.865990207675822,False,3
hybrid_minus_fdir_pd,initial_position_error_norm_m,-0.05034450445979888,0.05034450445979888,0.6927921661406576,64,0.865990207675822,False,4
hybrid_minus_fdir_pd,initial_velocity_error_norm_mps,0.019119907431453673,0.019119907431453673,0.8807975799593974,64,0.8807975799593974,False,5
hybrid_minus_fdir_pd,fault_to_noise_ratio,0.33365843256280187,0.33365843256280187,0.007052766518224914,64,0.03526383259112457,True,1
