metric,friedman_statistic,p_value,kendalls_w,duration_mean_range,relative_duration_range_percent,significant_0p05
outage_rmse_m,32.0,1.9130979702274063e-06,1.0,0.861397895638373,122.01016758305836,True
outage_end_error_m,32.0,1.9130979702274063e-06,1.0,1.944011085199826,167.58901539495733,True
outage_end_sigma_m,32.0,1.9130979702274063e-06,1.0,2.068531159662661,154.97522509741395,True
post_recovery_rmse_m,7.300000000000011,0.12085874882121181,0.22812500000000036,0.1501888348899002,33.967142718029535,False
