feature,nominal_mean,nominal_std,fault_mean,fault_std,standardized_separation
residual_rms_m,1.7337705388577076,0.9678394816835524,4.267840322780263,3.8471706845027924,0.9033719182081221
residual_std_m,1.7337705388577076,0.9678394816835522,4.267840322780263,3.8471706845027924,0.9033719182081221
normalized_residual_rms,0.5779235129525694,0.32261316056118405,1.422613440926754,1.2823902281675974,0.9033719182081217
residual_mean_abs_m,1.4511650992076548,0.7946580729896813,3.2361904157930526,2.697449132994418,0.8977055719210072
residual_peak_to_peak_m,5.689324334207922,3.541017575273827,15.493956358674914,15.4193558211565,0.8764354090183332
normalized_residual_max,1.0598502575254276,0.6872302695690299,3.343020850697325,3.745097397523338,0.8480055874074877
residual_max_abs_m,3.1795507725762824,2.0616908087070898,10.029062552091975,11.235292192570014,0.8480055874074877
chi2_ratio,0.2771487209778899,0.23210067245659752,2.3535436443105398,4.019166448862932,0.7294004177310489
chi2_statistic,5.020591023213007,5.164780561674893,40.059666831252294,69.39149175267582,0.71213411587203
chi2_per_dof,0.9586290319057432,0.922639916871082,8.807097239400507,19.860896497445793,0.5582554064350554
residual_peak_over_rms,1.7360105786810303,0.30980907414954684,2.005285744329214,0.6178960744393565,0.5509327370762936
prior_clock_correction_m,7.502265908732388,5.420603554366041,10.109244550746652,8.897713917548225,0.35386128028346847
prior_position_correction_m,32.83614410542437,14.163079816446766,36.21951751183857,17.41116401901588,0.21318717757439007
pdop,1.5671494015227467,0.6229312049148117,1.5671491981093288,0.6225419735573282,3.266443813805763e-07
number_of_satellites,9.06,4.147900086213345,9.06,4.145305756707247,0.0
degrees_of_freedom,5.06,4.147900086213346,5.06,4.1453057567072475,0.0
chi2_threshold,14.233312170634084,7.712595383458645,14.233312170634084,7.707771493452612,0.0
