run_id,fdir_pfa,temporal_ai_pfa,naive_or_pfa,hybrid_pfa,fdir_false_alarm_episodes,temporal_ai_false_alarm_episodes,naive_or_false_alarm_episodes,hybrid_false_alarm_episodes,fdir_pd_global,temporal_ai_pd_global,naive_or_pd_global,hybrid_pd_global,fdir_pd_5,temporal_ai_pd_5,naive_or_pd_5,hybrid_pd_5,fdir_episode_detected_5,hybrid_episode_detected_5,fdir_latency_5_s,hybrid_latency_5_s,fdir_pd_10,temporal_ai_pd_10,naive_or_pd_10,hybrid_pd_10,fdir_episode_detected_10,hybrid_episode_detected_10,fdir_latency_10_s,hybrid_latency_10_s,fdir_pd_20,temporal_ai_pd_20,naive_or_pd_20,hybrid_pd_20,fdir_episode_detected_20,hybrid_episode_detected_20,fdir_latency_20_s,hybrid_latency_20_s,fdir_pd_50,temporal_ai_pd_50,naive_or_pd_50,hybrid_pd_50,fdir_episode_detected_50,hybrid_episode_detected_50,fdir_latency_50_s,hybrid_latency_50_s
100,0.0,0.0,0.0,0.0,0,0,0,0,10.0,27.500000000000004,27.500000000000004,27.500000000000004,0.0,0.0,0.0,0.0,0,0,,,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,1,590.0,590.0,6.666666666666667,11.666666666666666,11.666666666666666,10.0,1,1,0.0,0.0,31.666666666666664,96.66666666666667,96.66666666666667,98.33333333333333,1,1,0.0,0.0
101,2.727272727272727,0.9090909090909091,2.727272727272727,2.727272727272727,3,1,3,3,11.666666666666666,26.25,27.083333333333332,30.0,1.6666666666666667,1.6666666666666667,3.3333333333333335,1.6666666666666667,1,1,310.0,310.0,3.3333333333333335,1.6666666666666667,3.3333333333333335,3.3333333333333335,1,1,310.0,310.0,8.333333333333332,15.0,15.0,18.333333333333332,1,1,110.0,110.0,33.33333333333333,86.66666666666667,86.66666666666667,96.66666666666667,1,1,0.0,0.0
102,0.0,0.9090909090909091,0.9090909090909091,0.0,0,1,1,0,5.833333333333333,15.0,15.0,17.083333333333332,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,0,,,23.333333333333332,60.0,60.0,68.33333333333333,1,1,0.0,0.0
103,0.9090909090909091,0.0,0.9090909090909091,0.9090909090909091,1,0,1,1,7.916666666666666,16.666666666666664,17.5,17.916666666666668,0.0,0.0,0.0,0.0,0,0,,,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,1,550.0,550.0,6.666666666666667,10.0,11.666666666666666,15.0,1,1,0.0,0.0,23.333333333333332,55.00000000000001,56.666666666666664,55.00000000000001,1,1,0.0,0.0
104,0.0,0.0,0.0,0.0,0,0,0,0,8.75,22.5,22.916666666666664,24.166666666666668,0.0,0.0,0.0,0.0,0,0,,,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,1,1,470.0,470.0,5.0,6.666666666666667,6.666666666666667,6.666666666666667,1,1,240.0,240.0,28.333333333333332,83.33333333333334,83.33333333333334,88.33333333333333,1,1,0.0,0.0
105,0.9090909090909091,1.8181818181818181,1.8181818181818181,0.9090909090909091,1,2,2,1,10.833333333333334,23.333333333333332,23.75,26.666666666666668,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,1,0.0,0.0,3.3333333333333335,3.3333333333333335,5.0,6.666666666666667,1,1,0.0,0.0,6.666666666666667,18.333333333333332,18.333333333333332,18.333333333333332,1,1,0.0,0.0,31.666666666666664,70.0,70.0,80.0,1,1,0.0,0.0
106,1.8181818181818181,0.0,1.8181818181818181,1.8181818181818181,2,0,2,2,7.083333333333333,25.416666666666664,25.416666666666664,26.25,0.0,0.0,0.0,0.0,0,0,,,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1,1,560.0,560.0,5.0,11.666666666666666,11.666666666666666,15.0,1,1,280.0,280.0,21.666666666666668,88.33333333333333,88.33333333333333,88.33333333333333,1,1,0.0,0.0
107,0.9090909090909091,0.0,0.9090909090909091,0.9090909090909091,1,0,1,1,7.5,26.666666666666668,27.083333333333332,28.333333333333332,0.0,0.0,0.0,0.0,0,0,,,1.6666666666666667,1.6666666666666667,3.3333333333333335,1.6666666666666667,1,1,310.0,310.0,6.666666666666667,15.0,15.0,16.666666666666664,1,1,0.0,0.0,21.666666666666668,90.0,90.0,95.0,1,1,0.0,0.0
108,0.0,0.0,0.0,0.0,0,0,0,0,7.083333333333333,16.666666666666664,17.083333333333332,19.166666666666668,0.0,0.0,0.0,0.0,0,0,,,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,1,1,40.0,40.0,1.6666666666666667,3.3333333333333335,3.3333333333333335,5.0,1,1,40.0,40.0,25.0,63.33333333333333,63.33333333333333,70.0,1,1,0.0,0.0
109,0.0,0.0,0.0,0.0,0,0,0,0,7.083333333333333,21.666666666666668,21.666666666666668,22.5,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,0,0,,,1.6666666666666667,3.3333333333333335,3.3333333333333335,5.0,1,1,0.0,0.0,26.666666666666668,83.33333333333334,83.33333333333334,85.0,1,1,0.0,0.0
