geometry_name,runs,altitude_km,inclination_deg,initial_true_anomaly_deg,natural_visible_mean,strong_detection_mean,low_detection_mean,false_alarm_mean,attitude_rmse_mean_deg,permissive_mission_rmse_mean,protected_mission_rmse_mean,protected_mission_rmse_std,protected_low_rmse_mean,protected_low_rmse_std,protected_dual_rmse_mean,protected_dual_rmse_std,permissive_nis_mean,protected_nis_mean,gain_mission_mean,gain_low_mean,gain_dual_mean
BEST_MEAN_PDOP,16,700.0,60.0,240.0,14.543939393939391,100.0,100.0,0.8958333333333334,0.037280595588522154,0.5704235007784457,0.5704235007784457,0.1413271868816298,0.3283182192745979,0.18932548593847606,0.33737303458192824,0.19471905812631252,3.0299134353296395,3.0299134353296395,0.0,0.0,0.0
MEDIAN_PDOP,16,550.0,75.0,120.0,13.766666666666667,100.0,99.58333333333333,1.1770833333333335,0.0372703929482496,0.5664188832244819,0.5654092348268096,0.10252040426187896,0.38663195504158215,0.2290165212605096,0.34875250160481225,0.18295080882305004,3.1016337423772846,3.0205466182845107,0.001009648397672275,0.020511019527496187,0.0030452134380759954
REFERENCE_AURORA,16,550.0,97.6,25.0,13.98030303030303,100.0,26.145833333333332,1.09375,0.0372766797127846,3.129936633737208,0.5912016134451534,0.1292831554775437,0.3248295341087611,0.22858889422184936,0.3955265251145035,0.21970627597052314,15.34679671012255,2.992323472506728,2.5387350202920547,8.489895767148568,2.856604395497757
WORST_PDOP_P95,16,400.0,0.0,240.0,13.206060606060609,100.0,100.0,1.1041666666666667,0.03724881904384529,0.6696347728320418,0.6696347728320418,0.09044413419231971,0.32538041991146255,0.20787468455273533,0.4107180085074834,0.1782643823203059,2.992516332301455,2.992516332301455,0.0,0.0,0.0
