phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,navigation_estimator_requested_start_min,navigation_estimator_start_min,navigation_estimator_start_index,navigation_estimator_age_at_outage_min,navigation_estimator_active_pre_outage_epochs,navigation_estimator_updates_before_outage,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_estimator_age_min,experiment_estimator_start_min,experiment_outage_start_min,experiment_outage_duration_min,experiment_outage_end_min,experiment_post_recovery_end_min,fixed_initial_true_anomaly_deg
PHASE_000,0.0,0,170700,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,28,0.0,12,14.028395061728395,16,0.8248442988835726,20.0,0.9876543209876543,,,2.502441066173895,0.6751416963780119,4.4485018997042385,1.01585530855128,8.430446736106276,0.8653384235994827,0.16374698156388756,2.954219512646206,97.91231732776617,0.057217121215931754,0.05298759816278323,5.0,55.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,0,170700,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,178,0.0,12,14.028395061728395,16,0.8248442988835726,20.0,0.9876543209876543,0.49299446410219694,,1.1734060300336684,0.4611828488980288,1.952465609301252,0.5765596017175358,2.7215440229162775,0.6848325784797664,0.23358314372385403,3.0202330880965578,97.2972972972973,0.057217121215931754,0.05298759816278323,30.0,30.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,0,170700,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,358,0.0,12,14.028395061728395,16,0.8248442988835726,20.0,0.9876543209876543,0.3564171793291578,0.47480678574281365,0.3520793241413776,0.303781884390885,0.3981585824434665,0.3946781049184054,1.1462128404715388,0.5964225159876992,0.27726735854770596,2.9084528472245434,97.03337453646476,0.057217121215931754,0.05298759816278323,60.0,0.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,0,170700,550.0,97.6,60.0,90.0,30.0,55.0,55.0,330,5.0,30,28,0.0,12,13.9375,16,0.8248442988835726,20.0,0.9722222222222222,,,5.8662777816171525,0.6751416963780119,10.876286022422807,1.01585530855128,24.849238093503807,0.8079918192939678,0.18539993214929879,3.077826887455159,94.34447300771208,0.10771447117632496,0.17580881733594036,5.0,55.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,0,170700,550.0,97.6,60.0,90.0,30.0,30.0,30.0,180,30.0,180,178,0.0,12,13.9375,16,0.8248442988835726,20.0,0.9722222222222222,0.49299446410219694,,2.7675317689296746,0.4611828488980288,5.653464323652316,0.5765596017175358,7.563244170798744,0.7155736923189133,0.10788814517198213,3.1254519775226015,94.8051948051948,0.10771447117632496,0.17580881733594036,30.0,30.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,0,170700,550.0,97.6,60.0,90.0,30.0,0.0,0.0,0,60.0,360,358,0.0,12,13.9375,16,0.8248442988835726,20.0,0.9722222222222222,0.3564171793291578,0.4946316980691532,0.46647526178204424,0.303781884390885,0.8069558688370732,0.3946781049184054,2.6565847108863823,0.5743624369348969,0.136689910270786,2.9726985147978886,95.13212795549374,0.10771447117632496,0.17580881733594036,60.0,0.0,60.0,30.0,90.0,105.0,0.0
PHASE_000,0.0,1,170701,550.0,97.6,60.0,75.0,15.0,55.0,55.0,330,5.0,30,29,0.0,12,14.028395061728395,16,0.8251189301909205,10.0,0.6172839506172839,,,2.944692330798186,0.8357180570888567,4.294036361770587,0.9467149256907624,8.070544337301998,0.7832757216160868,0.1858053954612808,3.1299696507401293,94.79166666666666,0.11217393944282637,0.1247342549410725,5.0,55.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,1,170701,550.0,97.6,60.0,75.0,15.0,30.0,30.0,180,30.0,180,179,0.0,12,14.028395061728395,16,0.8251189301909205,10.0,0.6172839506172839,0.5324036210415319,,1.937492841809128,0.48186056595070037,3.383411457178074,0.5620907578419594,2.665327785253582,0.8012465186168158,0.30061334117875926,2.944717962850444,95.23809523809523,0.11217393944282637,0.1247342549410725,30.0,30.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,1,170701,550.0,97.6,60.0,75.0,15.0,0.0,0.0,0,60.0,360,359,0.0,12,14.028395061728395,16,0.8251189301909205,10.0,0.6172839506172839,0.5219304931631465,0.4235229171401397,0.21361998784493427,0.0400950440203635,0.38752987206654826,0.3893980206619124,1.1319033147240005,0.5261946936633026,0.2568952021571918,2.9747232274995565,95.55555555555556,0.11217393944282637,0.1247342549410725,60.0,0.0,60.0,15.0,75.0,90.0,0.0
PHASE_000,0.0,1,170701,550.0,97.6,60.0,90.0,30.0,55.0,55.0,330,5.0,30,29,0.0,12,13.9375,16,0.8251189301909205,10.0,0.9722222222222222,,,3.9092144510885314,0.8357180570888567,4.418979777961446,0.9467149256907624,24.08817138471035,0.7681808647417772,0.2794674760516119,3.071305766870594,96.15384615384616,0.12233393664501249,0.13939873945327605,5.0,55.0,60.0,30.0,90.0,105.0,0.0
