fault_magnitude_m,samples,fdir_detection_rate,instant_detection_rate,temporal_detection_rate,hybrid_detection_rate,mean_instant_score,mean_temporal_score
5.0,240,2.083333333333333,2.5,2.083333333333333,2.5,0.5133154221161372,0.5000834940034696
10.0,240,2.083333333333333,2.9166666666666665,4.583333333333333,5.0,0.5260157350221332,0.5081138870523941
20.0,240,6.666666666666667,7.083333333333333,14.166666666666666,14.583333333333334,0.5433841889029681,0.5420171262482616
50.0,240,28.749999999999996,32.083333333333336,78.33333333333333,78.33333333333333,0.612644921586827,0.6676079871558367
