metric,reference_duration_min,stress_duration_min,age_5_mean_penalty,age_30_mean_penalty,age_60_mean_penalty,friedman_statistic,p_value,kendalls_w,interaction_evidence_0p05
outage_rmse_m,15.0,30.0,2.8938411660542105,1.3335030587386085,0.40649947215128024,9.0,0.011108996538242308,0.5625,True
outage_end_error_m,15.0,30.0,6.043799681456557,2.7564862274734785,0.8157609230786398,3.25,0.19691167520419406,0.203125,False
outage_end_sigma_m,15.0,30.0,16.069889973781677,4.766937570901311,1.498006009477083,16.0,0.0003354626279025119,1.0,True
