metric,mean,std,median,p90,p95,max
strong_detection_rate,99.97395833333333,0.2083333333333357,100.0,100.0,100.0,100.0
strong_isolation_rate,99.97395833333333,0.2083333333333357,100.0,100.0,100.0,100.0
low_detection_rate,34.33514313908615,27.69435844488374,27.10098870056497,74.81973434535107,89.28205128205127,100.0
false_alarm_rate,0.9918068929764381,0.42216251671234495,0.9775124378109452,1.4978585826725086,1.6294566089648053,2.201834862385321
attitude_rmse_deg,0.04275500230945185,0.013757508892204801,0.041688410850260704,0.057942413635209036,0.06543471461689677,0.0846069949900674
attitude_nis_mean,2.9241639023915145,0.2049795462634658,2.905233653710771,3.1541248667189947,3.2266938643299037,3.3506759977514227
permissive_mission_rmse,1.6738396877247395,0.8351336004913883,1.4815440097114656,2.795377220832886,3.3638055443679313,3.994170056153596
protected_mission_rmse,0.6637601773591442,0.2962150854063433,0.6031876531423584,1.0621234324509814,1.1251892219586124,1.9563300512425408
permissive_low_redundancy_rmse,4.0535072795094305,2.5577956883891435,3.578088325471568,7.218460520547249,9.356385971148041,11.444243814214966
protected_low_redundancy_rmse,0.4163494055864129,0.2668676155204678,0.36681046839377796,0.7641471490510195,1.0409024501627604,1.097156639798506
permissive_post_low_rmse,3.2610652998417886,1.8839361012430489,3.116130905666048,5.792498677687787,7.175735021710007,7.756916239576904
protected_post_low_rmse,0.38375380286438693,0.17904962357111734,0.36244476188886493,0.6730115379685407,0.6937071882375735,0.7955433842111989
permissive_dual_outage_rmse,1.6654799462242087,1.0674234727467602,1.5160669995761582,3.0426776866198875,3.545614166612299,4.736129285922436
protected_dual_outage_rmse,0.40812636006198283,0.295086046094168,0.3255849494025733,0.7479909816630835,0.9256456166529183,1.6979934626896909
permissive_post_dual_rmse,0.944555985078882,0.5800165496641446,0.7910817294844683,1.6406546704818767,2.1935720400762877,3.131506250765743
protected_post_dual_rmse,0.3618024287409958,0.16603632199301746,0.3242826505834737,0.5383705979936378,0.6698066340745039,0.8954734184043193
permissive_nis_mean,8.39143381147824,4.491188523638722,7.136978734751505,14.014104305667514,16.82584319387173,23.56136516847953
protected_nis_mean,3.0130645843327395,0.08729896930388703,3.004403551017787,3.1086464439320913,3.1506011596800305,3.264945759611728
permissive_nis_coverage,88.77896663888214,3.239235582184112,88.57958019156308,93.44245749026312,94.67868857576724,95.80514208389717
protected_nis_coverage,95.05850856742043,0.8361323757959507,95.21348607133561,96.14880394618199,96.24431818181819,96.53679653679652
gain_mission_rmse_m,1.0100795103655953,0.7401771012103786,0.9099982408150169,1.8717387103704868,2.5614755697769724,3.3957973140553843
gain_low_rmse_m,3.6371578739230173,2.4531587537098876,3.3076677462177595,6.507903894580708,8.60168860039263,11.008435951195638
gain_dual_rmse_m,1.257353586162226,1.0714308614129773,1.12362818397492,2.5844973532293194,3.2625202095036694,4.660313412334013
ratio_low_rmse,14.334422649041015,17.23536057884294,9.248762553248868,27.56484270297496,37.86118301510428,107.78834412030524
ratio_dual_rmse,6.838248774051586,9.13589652682438,3.6766588591720315,14.796626809129421,18.919312854113162,62.468834846290505
