envelope_estimator_age_min,envelope_outage_duration_min,runs,outage_start_sigma_mean_m,outage_rmse_mean_m,outage_rmse_std_m,outage_end_error_mean_m,outage_end_error_std_m,outage_end_sigma_mean_m,post_recovery_rmse_mean_m,source_experiment
5.0,15.0,8,0.9468198159604005,4.475598101007712,1.58320199041321,7.570188195208444,2.8443723619406365,8.072217807581412,0.7299330068922852,017-F
15.0,15.0,8,0.6739779731875539,2.2170399291046503,1.5719060040479467,3.9562442625827914,2.6656278418364767,5.685974605699907,0.686978652580593,017-F
30.0,15.0,8,0.5622376043709574,1.546388969967473,1.0494913995115707,2.609084363701899,1.8286095477461928,2.6663042785284423,0.6305626275282548,017-F
45.0,15.0,8,0.46161417712613967,1.2400227603287532,0.7342343533261476,2.0449785408318077,1.2822748644606692,1.621096577479705,0.5341632266725709,017-F
60.0,15.0,8,0.38971167278874125,0.8024555318136137,0.4091382887575393,1.1788226209218007,0.690910487503133,1.132466363638283,0.40613093246842263,017-F
60.0,5.0,8,0.389586402164173,0.39578532490408197,0.19216998737603339,0.4583091874162135,0.23164496099248522,0.5606908084961468,0.44651732821799733,017-G
60.0,10.0,8,0.389586402164173,0.48474008987909967,0.24226300129638534,0.6589873619899336,0.344295726796973,0.8066371212297134,0.3723387469963343,017-G
60.0,15.0,8,0.389586402164173,0.6114262037113088,0.317635299668015,0.9468898346896124,0.5298942267225828,1.1323877680687762,0.44641375878523026,017-G
60.0,20.0,8,0.389586402164173,0.7808902101130641,0.42756595992844754,1.3334292180183311,0.7910159669394901,1.5448102133041237,0.5225275818862345,017-G
60.0,30.0,8,0.389586402164173,1.257183220542455,0.7472955900670349,2.4023202726160395,1.5071894256266258,2.6292219681588076,0.42299841314019027,017-G
5.0,15.0,8,0.9561333214023765,2.773223833802338,0.6772815548646692,4.437883671198453,1.1623681915516777,8.11900670582572,0.764082006452694,017-H
5.0,30.0,8,0.9561333214023765,5.6670649998565485,2.5930185032338877,10.48168335265501,7.019121375425734,24.188896679607396,0.8309722375126576,017-H
30.0,15.0,8,0.564178582854147,1.2906276585227485,0.9536695417072371,2.072719723445822,1.6913504282852754,2.673326489929959,0.6005356514614938,017-H
30.0,30.0,8,0.564178582854147,2.624130717261357,2.133046272733392,4.829205950919301,3.999065194770722,7.44026406083127,0.6044214982941867,017-H
60.0,15.0,8,0.39025054679364807,0.5989745598309939,0.2573254267424659,0.8563436822812056,0.4263385840276518,1.134105602392801,0.46943806616315853,017-H
60.0,30.0,8,0.39025054679364807,1.0054740319822741,0.5879087171638556,1.6721046053598454,1.2599747336559988,2.632111611869884,0.5098846385680482,017-H
