estimator_age_min,metric,reference_duration_min,stress_duration_min,reference_mean,stress_mean,mean_stress_minus_reference,wilcoxon_statistic,p_value,significant_0p05
5.0,outage_rmse_m,15.0,30.0,2.773223833802338,5.6670649998565485,2.8938411660542105,0.0,0.0078125,True
5.0,outage_end_error_m,15.0,30.0,4.437883671198453,10.481683352655008,6.043799681456557,0.0,0.0078125,True
5.0,outage_end_sigma_m,15.0,30.0,8.11900670582572,24.188896679607396,16.069889973781677,0.0,0.0078125,True
5.0,post_recovery_rmse_m,15.0,30.0,0.7640820064526941,0.8309722375126577,0.06689023105996364,16.0,0.84375,False
30.0,outage_rmse_m,15.0,30.0,1.2906276585227485,2.624130717261357,1.3335030587386085,1.0,0.015625,True
30.0,outage_end_error_m,15.0,30.0,2.072719723445822,4.829205950919301,2.7564862274734785,1.0,0.015625,True
30.0,outage_end_sigma_m,15.0,30.0,2.673326489929959,7.44026406083127,4.766937570901311,0.0,0.0078125,True
30.0,post_recovery_rmse_m,15.0,30.0,0.6005356514614937,0.6044214982941867,0.003885846832692899,14.0,0.640625,False
60.0,outage_rmse_m,15.0,30.0,0.5989745598309939,1.0054740319822741,0.40649947215128024,1.0,0.015625,True
60.0,outage_end_error_m,15.0,30.0,0.8563436822812056,1.6721046053598454,0.8157609230786398,2.0,0.0234375,True
60.0,outage_end_sigma_m,15.0,30.0,1.134105602392801,2.6321116118698837,1.498006009477083,0.0,0.0078125,True
60.0,post_recovery_rmse_m,15.0,30.0,0.46943806616315853,0.5098846385680482,0.04044657240488977,13.0,0.546875,False
