output_metric,selected_alpha,training_r2,cv_r2_mean,cv_r2_std
protected_mission_rmse,31.622776601683793,0.6792981453974569,0.33364226046730244,0.19645107563159725
protected_low_redundancy_rmse,199.5262314968883,0.18456374107797346,-0.03339695681298325,0.0782495787673438
protected_dual_outage_rmse,100.0,0.3352219902086403,0.05433202679681019,0.08334856997138368
protected_nis_mean,1000.0,0.020210295778481102,-0.276246464795801,0.2404279305104447
gain_mission_rmse_m,50.11872336272725,0.5423083706290455,0.20343142047039028,0.22733207973956715
gain_dual_rmse_m,25.11886431509582,0.6402376651669426,0.15058646666796965,0.34434697739246223
fdir_pd,7.943282347242821,0.7884564480948354,0.15738917263989,0.16074328220134929
hybrid_pd,10.0,0.8122912560451983,-0.5630548288991497,1.7117632338894464
hybrid_pfa,1000.0,0.05745121608725723,-0.031705795068813616,0.06071906407479157
hybrid_minus_fdir_pd,39.81071705534978,0.47711362254463996,-0.3242070825347317,0.5889243624605648
