phase_name,initial_true_anomaly_deg,replicate_index,scenario_seed,altitude_km,inclination_deg,dual_outage_start_min,dual_outage_end_min,dual_outage_duration_min,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,pre_outage_satellites,pre_outage_pdop,pre_outage_update_age_s,healthy_false_alarm_rate,pre_outage_rmse_m,mission_rmse_m,outage_rmse_m,outage_start_error_m,outage_end_error_m,outage_start_sigma_m,outage_end_sigma_m,post_recovery_rmse_m,final_error_m,navigation_nis_mean,navigation_nis_coverage_percent,attitude_outage_rmse_deg,attitude_end_outage_deg,experiment_outage_start_min,experiment_outage_end_min,experiment_outage_duration_min,fixed_initial_true_anomaly_deg
PHASE_000,0.0,0,170400,550.0,97.6,15.0,30.0,15.0,0.0,12,14.011111111111113,13,1.0448021091131314,10.0,1.6049382716049383,,0.9302199352788344,2.512710192825326,0.7548772106975175,4.647851580908776,0.829677163634489,6.242695378106667,0.4853421489461248,0.3337350476420648,2.906632324393379,95.7920792079208,0.0887008777791482,0.1299315605324928,15.0,30.0,15.0,0.0
PHASE_000,0.0,0,170400,550.0,97.6,30.0,45.0,15.0,0.0,12,14.090123456790124,14,0.8983764789675103,10.0,1.6049382716049383,,0.5728420927286989,1.239434868290315,0.3691851402820839,2.0514764011643347,0.5952619796223773,2.8757382564302163,0.4335131946788826,0.3230886065952966,3.086546312478629,94.93827160493828,0.0518394548429259,0.0772465781574461,30.0,45.0,15.0,0.0
PHASE_000,0.0,0,170400,550.0,97.6,45.0,60.0,15.0,0.0,12,13.892592592592592,14,0.8788546311802715,10.0,1.728395061728395,,0.7151677102088719,1.6724455151416482,0.7618809543211066,2.68165831928855,0.5321306043449966,1.7721923540798783,0.4598166369565892,0.1076216831287232,3.005359488546191,94.81481481481482,0.0744791558103355,0.1272571480831624,45.0,60.0,15.0,0.0
PHASE_000,0.0,0,170400,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728396,16,0.8251189287676831,10.0,1.851851851851852,0.2622010148496416,0.4851236075603208,0.2672560958417975,0.1468661537434148,0.3613927492206331,0.3895742539151319,1.13250943353935,0.3875078505563354,0.4772496726256254,3.02854369657685,94.56118665018542,0.1335752120482387,0.1827338757587955,60.0,75.0,15.0,0.0
PHASE_000,0.0,0,170400,550.0,97.6,75.0,90.0,15.0,0.0,12,13.946913580246914,14,0.8984254307636216,10.0,1.851851851851852,0.2162227580678692,0.4219835465285605,0.368218610286788,0.1685066535336584,0.5978580989935096,0.3767464911218066,0.9687129533092872,,0.118418958934494,3.0844925886822585,95.30864197530865,0.0328149458142576,0.0451828934026533,75.0,90.0,15.0,0.0
PHASE_000,0.0,0,170400,550.0,97.6,90.0,105.0,15.0,0.0,12,13.98148148148148,15,0.830669714650668,10.0,1.6049382716049383,0.2285790372235717,0.4439139566841728,0.597353270071842,0.3158505949664585,0.903118082662435,0.3018222356904309,0.7040274728475411,,0.2901960039651003,3.0962783250341106,95.30864197530865,0.0965326983141566,0.125373012303025,90.0,105.0,15.0,0.0
PHASE_000,0.0,0,170400,550.0,97.6,105.0,120.0,15.0,0.0,12,14.185185185185183,12,1.1782194816384457,10.0,1.6049382716049383,0.2392277244287219,0.4368933285658218,0.2586235577571679,0.1681082861948632,0.326377029430236,0.2806096286069151,0.6209121450848403,,0.7197793758264894,3.0687549625149715,94.80840543881337,0.0229228882993528,0.0186060199290517,105.0,120.0,15.0,0.0
PHASE_000,0.0,0,170400,550.0,97.6,120.0,135.0,15.0,0.0,12,14.023456790123456,12,1.1881686806865048,10.0,1.728395061728395,0.2440702630178343,0.4400289252433786,0.3872283102970851,0.2486624025623928,0.6187809794115376,0.3027060857725181,0.6483073027456004,,0.1939104283706935,3.044246936206096,95.1851851851852,0.0759639033399724,0.0873367984523127,120.0,135.0,15.0,0.0
PHASE_000,0.0,1,170401,550.0,97.6,15.0,30.0,15.0,0.0,12,14.011111111111113,13,1.044802193854665,10.0,0.9876543209876544,,1.430327037367241,4.198715805285929,1.3742147407314973,7.562171260420211,0.8296641971711055,6.244057226636983,0.4861446671871616,0.2064783120411305,2.9388085865845235,94.6847960444994,0.121288621352311,0.1743386861343324,15.0,30.0,15.0,0.0
PHASE_000,0.0,1,170401,550.0,97.6,30.0,45.0,15.0,0.0,12,14.090123456790124,14,0.8983764656355319,10.0,0.8641975308641975,,0.5895401119653512,0.8435671086061339,0.240658207080556,1.395474836777992,0.5979590921471968,2.8907069073798435,0.5179614196810817,0.1540010281040581,2.99270596654987,95.06172839506172,0.0553423606830996,0.070943470035825,30.0,45.0,15.0,0.0
PHASE_000,0.0,1,170401,550.0,97.6,45.0,60.0,15.0,0.0,12,13.892592592592592,14,0.8788546201576569,10.0,0.9876543209876544,,0.5103774038347834,0.6725441914722166,0.1950749678960165,1.2061109754189778,0.5307026542407154,1.7690911278905712,0.3043936441387086,0.379221904750677,2.8949948863975066,95.679012345679,0.0335860051127465,0.0618364798709972,45.0,60.0,15.0,0.0
PHASE_000,0.0,1,170401,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728396,16,0.8251189234662318,10.0,1.1111111111111112,0.4316213262921659,0.506204479648164,0.6605942558504204,0.2913498965282503,1.0974789578089768,0.3894474628792422,1.1320939817045772,0.5265335613916017,0.110638315439519,2.9855447555494696,94.81481481481482,0.0620754909630754,0.044476240638225,60.0,75.0,15.0,0.0
PHASE_000,0.0,1,170401,550.0,97.6,75.0,90.0,15.0,0.0,12,13.946913580246914,14,0.8984254272445159,10.0,0.8641975308641975,0.3634944315417513,0.5592140007758869,1.05038811001917,0.4641124814336319,1.6938419560820923,0.3764874472933727,0.9677713516247848,,0.159959941351613,2.8927870774850613,95.55006180469717,0.0605726175774365,0.043201512301588,75.0,90.0,15.0,0.0
PHASE_000,0.0,1,170401,550.0,97.6,90.0,105.0,15.0,0.0,12,13.98148148148148,15,0.8306697433907984,10.0,0.7407407407407408,0.3973426994615113,0.5438348474748939,0.9105225896957386,0.4278481589363304,1.4135781024689398,0.3017009753297861,0.7039922719024752,,0.1495720584108609,3.0025260653832166,95.43209876543207,0.0672815850152105,0.0858051283752478,90.0,105.0,15.0,0.0
PHASE_000,0.0,1,170401,550.0,97.6,105.0,120.0,15.0,0.0,12,14.185185185185183,12,1.1782195015870751,10.0,0.9876543209876544,0.3914944210009284,0.4849018564665666,0.4595922516253057,0.2359239006374206,0.6790824430934184,0.2806913325758028,0.6210804596791526,,0.1767060638609595,2.9709856473337464,94.44444444444444,0.0447913804401821,0.0705977704342981,105.0,120.0,15.0,0.0
PHASE_000,0.0,1,170401,550.0,97.6,120.0,135.0,15.0,0.0,12,14.023456790123456,12,1.1881688225191758,10.0,0.8641975308641975,0.3593406362556688,0.4657428477018621,0.2387456068419777,0.188088579360806,0.3044399662678675,0.3026942250415089,0.6483665582618611,,0.2958676943608371,2.9187877866559093,94.93827160493828,0.0635594262942513,0.1143807382082286,120.0,135.0,15.0,0.0
PHASE_000,0.0,2,170402,550.0,97.6,15.0,30.0,15.0,0.0,12,14.011111111111113,13,1.0448021636552405,10.0,0.9876543209876544,,0.6116470025667421,1.5185415764609496,0.2985631664250869,2.7449274851530343,0.8296628787354439,6.244199620240376,0.4645127198550822,0.1512524617512582,3.114025137739706,94.81481481481482,0.146704884384007,0.2170224719351922,15.0,30.0,15.0,0.0
PHASE_000,0.0,2,170402,550.0,97.6,30.0,45.0,15.0,0.0,12,14.090123456790124,14,0.8983764751834474,10.0,0.7407407407407408,,0.3789209928305254,0.3108302582362561,0.1500078328263574,0.5044730765966731,0.5944675789403648,2.873165481733845,0.3499230516233278,0.3021270030817396,3.0050434645454094,96.29629629629628,0.0459734998285321,0.061070131265187,30.0,45.0,15.0,0.0
PHASE_000,0.0,2,170402,550.0,97.6,45.0,60.0,15.0,0.0,12,13.892592592592592,14,0.8788546760991033,10.0,0.7407407407407408,,0.5448083944445096,0.9924789828691104,0.660280541207904,1.2844028193318222,0.5310761138232409,1.769663349528011,0.5954338026817536,0.1522602739848549,3.041693898034372,94.44444444444444,0.0893712715016989,0.1279052328767823,45.0,60.0,15.0,0.0
PHASE_000,0.0,2,170402,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728396,16,0.8251189136514673,10.0,0.6172839506172839,0.556060759472918,0.4570107906236443,0.6661479178519835,0.3930919021630694,1.0016635372426073,0.3893956701097225,1.1319460700126935,0.3929262279313281,0.1800277795836837,2.9913865842848937,93.58024691358024,0.0581384272027225,0.0713701513981042,60.0,75.0,15.0,0.0
PHASE_000,0.0,2,170402,550.0,97.6,75.0,90.0,15.0,0.0,12,13.946913580246914,14,0.8984254379870629,10.0,0.4938271604938271,0.5999403714775542,0.5268458153722753,0.9660620088488202,0.5507978321436195,1.4271390417882115,0.3762412971844804,0.9672055271175862,,0.1421618412482931,2.970896534469412,94.320987654321,0.0577928312451436,0.1099877603332658,75.0,90.0,15.0,0.0
PHASE_000,0.0,2,170402,550.0,97.6,90.0,105.0,15.0,0.0,12,13.98148148148148,15,0.8306696981834101,10.0,0.4938271604938271,0.5276528896160585,0.4732859724116475,0.5061106684566521,0.3318195782912267,0.6987986060157103,0.3016809524089516,0.7038407375043465,,0.2931506282022738,3.032838923371273,95.1851851851852,0.0492998414704071,0.0728816173198902,90.0,105.0,15.0,0.0
PHASE_000,0.0,2,170402,550.0,97.6,105.0,120.0,15.0,0.0,12,14.185185185185183,12,1.1782192748554212,10.0,0.6172839506172839,0.4655149554557029,0.4268763852455954,0.0679820637887431,0.0804590096550465,0.097741536570689,0.2805558539665206,0.6208373374839451,,0.1256143303564064,3.0793360216152315,94.07407407407408,0.0814665830681849,0.0977881714818669,105.0,120.0,15.0,0.0
PHASE_000,0.0,2,170402,550.0,97.6,120.0,135.0,15.0,0.0,12,14.023456790123456,12,1.188168740007487,10.0,0.6172839506172839,0.421710164038543,0.4682760243942661,0.4182004524161153,0.2074644389061744,0.6508180644436494,0.3027036130899758,0.6483441924870295,,0.1856574558131532,3.09248655149177,94.69135802469135,0.0634977502969499,0.0908870597639531,120.0,135.0,15.0,0.0
PHASE_000,0.0,3,170403,550.0,97.6,15.0,30.0,15.0,0.0,12,14.011111111111113,13,1.0448021462161134,10.0,0.9876543209876544,,0.6916733342813349,1.655260288892923,0.6725696522861263,2.555166065709336,0.830203241023951,6.245248139203481,0.5522473338965448,0.2450681503954297,3.0437093516196105,94.43757725587145,0.1208086678804073,0.1746718865830889,15.0,30.0,15.0,0.0
PHASE_000,0.0,3,170403,550.0,97.6,30.0,45.0,15.0,0.0,12,14.090123456790124,14,0.8983764972527957,10.0,0.7407407407407408,,0.5620236476026081,1.1221770272535314,0.4175902823243278,1.832651675051881,0.5940653337401801,2.8718367880964664,0.4145162073976772,0.1134499984382682,2.983312627984521,94.07407407407408,0.0857887362215825,0.1467333151720754,30.0,45.0,15.0,0.0
PHASE_000,0.0,3,170403,550.0,97.6,45.0,60.0,15.0,0.0,12,13.892592592592592,14,0.8788546650716785,10.0,1.1111111111111112,,0.6744175279635846,1.4208867685446955,0.8725060132638046,1.9987112281981687,0.5307368392809856,1.7689355382387906,0.6295232030574504,0.2937931945702585,2.9924322202529643,94.5679012345679,0.0768566449776439,0.1059504758177556,45.0,60.0,15.0,0.0
PHASE_000,0.0,3,170403,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728396,16,0.825118914665549,10.0,0.6172839506172839,0.2517105941788256,0.3943501935484428,0.2811211514699746,0.1182153572577274,0.5325388237372245,0.3894052521539762,1.1320490286383431,0.5445512285729976,0.1881230279628365,2.965903966501208,94.93827160493828,0.0839188526169274,0.1089602595913527,60.0,75.0,15.0,0.0
PHASE_000,0.0,3,170403,550.0,97.6,75.0,90.0,15.0,0.0,12,13.946913580246914,14,0.898425459457875,10.0,0.8641975308641975,0.2282064958864161,0.4332884417306102,0.5920218175543493,0.2773609641342196,0.8694585687719784,0.3764698377920267,0.967731129432683,,0.3017457025756295,3.030553196324928,95.43209876543207,0.0690191832051176,0.1182394285199289,75.0,90.0,15.0,0.0
PHASE_000,0.0,3,170403,550.0,97.6,90.0,105.0,15.0,0.0,12,13.98148148148148,15,0.8306697257053983,10.0,1.2345679012345678,0.2508103900291631,0.3894462367330732,0.5146042899296853,0.3970714529893922,0.6452017375420439,0.301801046566668,0.7041060194087428,,0.2466865629284529,3.017398506652409,95.679012345679,0.1032594101976516,0.1531105641061873,90.0,105.0,15.0,0.0
PHASE_000,0.0,3,170403,550.0,97.6,105.0,120.0,15.0,0.0,12,14.185185185185183,12,1.226964866707645,10.0,1.3580246913580247,0.2677266349865748,0.418998823709005,0.6189329030937756,0.2731252891565777,0.9427877746192236,0.2809406107833059,0.6213398564518853,,0.316001794988385,3.0170410011700834,95.80246913580248,0.0600432211449725,0.0262519777965939,105.0,120.0,15.0,0.0
PHASE_000,0.0,3,170403,550.0,97.6,120.0,135.0,15.0,0.0,12,14.023456790123456,12,1.1881686703560057,10.0,1.1111111111111112,0.2633608231214558,0.372003499854951,0.1523050183108657,0.1014200344191095,0.2019683963346357,0.3027520108569774,0.6483765555198998,,0.8563335326523279,2.9844881252519,95.679012345679,0.0488094098799932,0.0624820859186368,120.0,135.0,15.0,0.0
PHASE_000,0.0,4,170404,550.0,97.6,15.0,30.0,15.0,0.0,12,14.011111111111113,13,1.0448021927303686,10.0,0.7407407407407408,,0.5797749902076889,1.4130729422740336,0.588059986422498,2.154152812853229,0.8296957907562549,6.244840153130292,0.4619086044648984,0.0733948915101387,3.035115692071433,95.30864197530865,0.1042789288000849,0.1450082014254931,15.0,30.0,15.0,0.0
PHASE_000,0.0,4,170404,550.0,97.6,30.0,45.0,15.0,0.0,12,14.090123456790124,14,0.8983764950159885,10.0,0.3703703703703704,,0.7547061760250255,1.9994071732670928,0.4190290520776003,3.7508846622103458,0.5940350228555287,2.871781380761921,0.4705907194215638,0.2313891275086059,2.9215134934857114,96.17283950617283,0.045859513170754,0.0694472091682046,30.0,45.0,15.0,0.0
PHASE_000,0.0,4,170404,550.0,97.6,45.0,60.0,15.0,0.0,12,13.892592592592592,14,0.8788546637093878,10.0,0.2469135802469135,,0.8052213617077055,2.1145306995441966,0.7774695298309541,3.549938186821462,0.530672309168918,1.7687269437000188,0.5452197674073386,0.262584602716977,3.044613487355971,94.93827160493828,0.0506421944723755,0.0864445379113956,45.0,60.0,15.0,0.0
PHASE_000,0.0,4,170404,550.0,97.6,60.0,75.0,15.0,0.0,12,14.028395061728396,16,0.8251189244549157,10.0,0.4938271604938271,0.3626522538858611,0.4577453966240806,0.8770882566535453,0.3695845383902653,1.459252733361354,0.3894111880595975,1.132119778872078,0.4476844728497439,0.0477016195457939,3.0303567459805283,95.1851851851852,0.0917674615485537,0.095113488063152,60.0,75.0,15.0,0.0
PHASE_000,0.0,4,170404,550.0,97.6,75.0,90.0,15.0,0.0,12,13.946913580246914,14,0.8984254021065399,10.0,0.4938271604938271,0.5278846772984613,0.4063758147149807,0.1991789422894941,0.1963727479821529,0.1992882663260496,0.3762597977393425,0.9672901268339356,,0.1015999951898721,3.1010687845970377,96.17283950617283,0.0882754396057517,0.0994444343989592,75.0,90.0,15.0,0.0
PHASE_000,0.0,4,170404,550.0,97.6,90.0,105.0,15.0,0.0,12,13.98148148148148,15,0.8306697542545802,10.0,0.4938271604938271,0.4589313702568015,0.4344417465640667,0.3071446710478033,0.1794036440100878,0.4127790975352644,0.3017234637307872,0.7040324256844823,,0.0821938780307892,3.005033809088448,95.55555555555556,0.0843506541374858,0.1086675907263912,90.0,105.0,15.0,0.0
