output_metric,parameter,spearman_rho,absolute_rho,p_value,samples,q_value,fdr_significant_0p10,rank_abs_rho,subsystem
protected_mission_rmse,pseudorange_noise_std_m,0.8418956043956043,0.8418956043956043,2.92729410750415e-18,64,6.732776447259545e-17,True,1,GNSS measurement
protected_mission_rmse,accelerometer_noise_std_mps2,-0.11300366300366299,0.11300366300366299,0.3739686626403871,64,0.7002095254361265,False,12,Accelerometer
protected_mission_rmse,accelerometer_bias_x_mps2,0.10796703296703294,0.10796703296703294,0.3957706013334628,64,0.7002095254361265,False,13,Accelerometer
protected_mission_rmse,accelerometer_bias_y_mps2,0.19038461538461537,0.19038461538461537,0.13184186444745266,64,0.5711987264874084,False,4,Accelerometer
protected_mission_rmse,accelerometer_bias_z_mps2,0.2533882783882784,0.2533882783882784,0.04335700454969773,64,0.41722361774256944,False,2,Accelerometer
protected_mission_rmse,gyro_noise_std_degps,0.18690476190476185,0.18690476190476185,0.13918455835795665,64,0.5711987264874084,False,5,Gyroscope
protected_mission_rmse,gyro_bias_x_degps,0.11955128205128204,0.11955128205128204,0.34673530989721435,64,0.7002095254361265,False,11,Gyroscope
protected_mission_rmse,gyro_bias_y_degps,-0.1460164835164835,0.1460164835164835,0.24961211506110065,64,0.6227326143353771,False,8,Gyroscope
protected_mission_rmse,gyro_bias_z_degps,0.08782051282051281,0.08782051282051281,0.49016139395700775,64,0.7069505995409826,False,15,Gyroscope
protected_mission_rmse,star_tracker_noise_std_deg,-0.012408424908424908,0.012408424908424908,0.9224765389724358,64,0.9644072907439102,False,22,Star tracker
protected_mission_rmse,initial_position_error_x_m,0.2416208791208791,0.2416208791208791,0.054420471879465575,64,0.41722361774256944,False,3,Initial state
protected_mission_rmse,initial_position_error_y_m,-0.0013736263736263735,0.0013736263736263735,0.9914050130628766,64,0.9914050130628766,False,23,Initial state
protected_mission_rmse,initial_position_error_z_m,0.07367216117216116,0.07367216117216116,0.5628940412121509,64,0.7069505995409826,False,16,Initial state
protected_mission_rmse,initial_velocity_error_x_mps,0.17738095238095236,0.17738095238095236,0.16084756419742646,64,0.5711987264874084,False,6,Initial state
protected_mission_rmse,initial_velocity_error_y_mps,0.07184065934065934,0.07184065934065934,0.5726672766214729,64,0.7069505995409826,False,17,Initial state
protected_mission_rmse,initial_velocity_error_z_mps,-0.07156593406593405,0.07156593406593405,0.5741400115840203,64,0.7069505995409826,False,18,Initial state
protected_mission_rmse,non_gravitational_acceleration_mps2,-0.17211538461538461,0.17211538461538461,0.17384309067008083,64,0.5711987264874084,False,7,Orbital disturbance
protected_mission_rmse,fault_magnitude_m,0.09157509157509156,0.09157509157509156,0.4717244969500027,64,0.7069505995409826,False,14,GNSS fault
protected_mission_rmse,fault_start_min,-0.0314102564102564,0.0314102564102564,0.8053801507563019,64,0.9261871733697472,False,20,GNSS fault
protected_mission_rmse,fault_duration_min,0.023260073260073257,0.023260073260073257,0.8552392229175145,64,0.9366905774810874,False,21,GNSS fault
protected_mission_rmse,gnss_outage_duration_min,0.13974358974358972,0.13974358974358972,0.2707533105805987,64,0.6227326143353771,False,10,Mission outage
protected_mission_rmse,star_tracker_outage_duration_min,0.14097985347985345,0.14097985347985345,0.26649490025659395,64,0.6227326143353771,False,9,Mission outage
protected_mission_rmse,dual_outage_duration_min,-0.06973443223443222,0.06973443223443222,0.584002669186029,64,0.7069505995409826,False,19,Mission outage
protected_low_redundancy_rmse,pseudorange_noise_std_m,0.5195970695970695,0.5195970695970695,1.0837110422457832e-05,64,0.00024925353971653016,True,1,GNSS measurement
protected_low_redundancy_rmse,accelerometer_noise_std_mps2,0.04578754578754578,0.04578754578754578,0.7193935617917022,64,0.9732971718358324,False,17,Accelerometer
protected_low_redundancy_rmse,accelerometer_bias_x_mps2,0.004029304029304029,0.004029304029304029,0.9747916553393171,64,0.9747916553393171,False,23,Accelerometer
protected_low_redundancy_rmse,accelerometer_bias_y_mps2,0.0570054945054945,0.0570054945054945,0.654571958226212,64,0.9480549197518298,False,15,Accelerometer
protected_low_redundancy_rmse,accelerometer_bias_z_mps2,0.06286630036630035,0.06286630036630035,0.6216546264504021,64,0.9480549197518298,False,14,Accelerometer
protected_low_redundancy_rmse,gyro_noise_std_degps,-0.09432234432234432,0.09432234432234432,0.45847412353194894,64,0.9480549197518298,False,8,Gyroscope
protected_low_redundancy_rmse,gyro_bias_x_degps,0.21657509157509156,0.21657509157509156,0.08562916592652,64,0.9480549197518298,False,2,Gyroscope
protected_low_redundancy_rmse,gyro_bias_y_degps,0.02692307692307692,0.02692307692307692,0.8327485353043786,64,0.9747916553393171,False,18,Gyroscope
protected_low_redundancy_rmse,gyro_bias_z_degps,0.0918040293040293,0.0918040293040293,0.47061249377829,64,0.9480549197518298,False,9,Gyroscope
protected_low_redundancy_rmse,star_tracker_noise_std_deg,0.006776556776556776,0.006776556776556776,0.9576167286700745,64,0.9747916553393171,False,22,Star tracker
protected_low_redundancy_rmse,initial_position_error_x_m,0.07289377289377288,0.07289377289377288,0.5670380637104497,64,0.9480549197518298,False,13,Initial state
protected_low_redundancy_rmse,initial_position_error_y_m,0.011950549450549448,0.011950549450549448,0.9253288645443054,64,0.9747916553393171,False,21,Initial state
protected_low_redundancy_rmse,initial_position_error_z_m,-0.017124542124542123,0.017124542124542123,0.8931605666571891,64,0.9747916553393171,False,20,Initial state
protected_low_redundancy_rmse,initial_velocity_error_x_mps,0.08108974358974358,0.08108974358974358,0.5241362192604575,64,0.9480549197518298,False,12,Initial state
protected_low_redundancy_rmse,initial_velocity_error_y_mps,-0.08131868131868132,0.08131868131868132,0.5229615817540906,64,0.9480549197518298,False,11,Initial state
protected_low_redundancy_rmse,initial_velocity_error_z_mps,-0.10943223443223442,0.10943223443223442,0.38935228544943534,64,0.9480549197518298,False,7,Initial state
protected_low_redundancy_rmse,non_gravitational_acceleration_mps2,0.05613553113553113,0.05613553113553113,0.6595164659143163,64,0.9480549197518298,False,16,Orbital disturbance
protected_low_redundancy_rmse,fault_magnitude_m,0.143040293040293,0.143040293040293,0.2594979417700109,64,0.9480549197518298,False,4,GNSS fault
protected_low_redundancy_rmse,fault_start_min,0.11098901098901098,0.11098901098901098,0.38260097365067924,64,0.9480549197518298,False,6,GNSS fault
protected_low_redundancy_rmse,fault_duration_min,0.018635531135531132,0.018635531135531132,0.8837962144778839,64,0.9747916553393171,False,19,GNSS fault
protected_low_redundancy_rmse,gnss_outage_duration_min,-0.1368131868131868,0.1368131868131868,0.28102821134544825,64,0.9480549197518298,False,5,Mission outage
protected_low_redundancy_rmse,star_tracker_outage_duration_min,0.19207875457875453,0.19207875457875453,0.1283749052978402,64,0.9480549197518298,False,3,Mission outage
protected_low_redundancy_rmse,dual_outage_duration_min,-0.08237179487179486,0.08237179487179486,0.5175752869190126,64,0.9480549197518298,False,10,Mission outage
protected_dual_outage_rmse,pseudorange_noise_std_m,0.42838827838827837,0.42838827838827837,0.0004132828440360641,64,0.009505505412829475,True,1,GNSS measurement
