geometry_name,source_scenario_id,replicate_index,scenario_seed,altitude_km,inclination_deg,initial_true_anomaly_deg,time_sync_error_s,natural_visible_satellites_min,natural_visible_satellites_mean,strong_detection_rate,strong_isolation_rate,low_detection_rate,false_alarm_rate,attitude_rmse_deg,permissive_mission_rmse,permissive_mission_max,permissive_final_error,permissive_final_sigma,permissive_strong_fault_rmse,permissive_gnss_outage_rmse,permissive_star_tracker_outage_rmse,permissive_low_redundancy_rmse,permissive_post_low_rmse,permissive_dual_outage_rmse,permissive_post_dual_rmse,permissive_nis_mean,permissive_nis_coverage,permissive_updates,protected_mission_rmse,protected_mission_max,protected_final_error,protected_final_sigma,protected_strong_fault_rmse,protected_gnss_outage_rmse,protected_star_tracker_outage_rmse,protected_low_redundancy_rmse,protected_post_low_rmse,protected_dual_outage_rmse,protected_post_dual_rmse,protected_nis_mean,protected_nis_coverage,protected_updates,gain_mission_rmse_m,gain_low_rmse_m,gain_dual_rmse_m,reference_mission_rmse,reference_low_rmse,reference_dual_rmse,reference_nis,delta_mission_rmse_m,delta_low_rmse_m,delta_dual_rmse_m,delta_nis
BEST_MEAN_PDOP,AURORA17_088,0,170200,700.0,60.0,240.0,0.0,12,14.543939393939391,100.0,100.0,100.0,0.6666666666666667,0.0360464350718746,0.5565655780563002,1.9123650724818624,0.2605942704527282,0.2805086288670175,0.5303371226060161,0.9693577831882044,0.3213312023082431,0.2007688240460128,0.437203199570884,0.2815936273302396,0.2700551639470939,3.1094935171816904,94.99241274658571,659,0.5565655780563002,1.9123650724818624,0.2605942704527282,0.2805086288670175,0.5303371226060161,0.9693577831882044,0.3213312023082431,0.2007688240460128,0.437203199570884,0.2815936273302396,0.2700551639470939,3.1094935171816904,94.99241274658571,659,0.0,0.0,0.0,0.4964422611123737,0.466358562263949,0.1761421341832054,2.886760849461775,0.06012331694392653,-0.2655897382179362,0.10545149314703423,0.2227326677199155
MEDIAN_PDOP,AURORA17_056,0,170200,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,100.0,1.0,0.0360512206076716,0.5628246228698922,2.359599001295986,0.3806275794531579,0.2928030314904112,0.9544154254330248,0.6814334208532763,0.4276437863809972,0.2492393391390097,0.2406950800513282,0.4844894177602671,0.3706821600484457,3.0793569857056604,94.6969696969697,660,0.5628246228698922,2.359599001295986,0.3806275794531579,0.2928030314904112,0.9544154254330248,0.6814334208532763,0.4276437863809972,0.2492393391390097,0.2406950800513282,0.4844894177602671,0.3706821600484457,3.0793569857056604,94.6969696969697,660,0.0,0.0,0.0,0.4964422611123737,0.466358562263949,0.1761421341832054,2.886760849461775,0.0663823617575185,-0.2171192231249393,0.3083472835770617,0.1925961362438855
WORST_PDOP_P95,AURORA17_004,0,170200,400.0,0.0,240.0,0.0,12,13.206060606060609,100.0,100.0,100.0,1.1666666666666667,0.0360053727472366,0.7600246656355578,2.4599611180764493,0.7053277033967197,0.2892013742063675,0.5963391801438472,1.5578873885459552,0.7019394970676879,0.2337678964026492,0.2734032628686489,0.4458247129549256,0.7297727029034292,2.9310008120059807,95.44072948328268,658,0.7600246656355578,2.4599611180764493,0.7053277033967197,0.2892013742063675,0.5963391801438472,1.5578873885459552,0.7019394970676879,0.2337678964026492,0.2734032628686489,0.4458247129549256,0.7297727029034292,2.9310008120059807,95.44072948328268,658,0.0,0.0,0.0,0.4964422611123737,0.466358562263949,0.1761421341832054,2.886760849461775,0.2635824045231841,-0.2325906658612998,0.2696825787717202,0.04423996254420581
BEST_MEAN_PDOP,AURORA17_088,1,170201,700.0,60.0,240.0,0.0,12,14.543939393939391,100.0,100.0,100.0,0.5,0.038787055005029,0.6837718186291065,2.0820189023146973,0.1094471518879589,0.28043323676413,1.686545806242385,0.9646695555521382,0.19035240965835,0.3267729323128707,0.3779488756513289,0.5185675410726269,0.46109898692252,3.015789562011247,95.45454545454544,660,0.6837718186291065,2.0820189023146973,0.1094471518879589,0.28043323676413,1.686545806242385,0.9646695555521382,0.19035240965835,0.3267729323128707,0.3779488756513289,0.5185675410726269,0.46109898692252,3.015789562011247,95.45454545454544,660,0.0,0.0,0.0,0.6265557697367203,0.3569319613470235,0.840266114375466,3.0390344407269065,0.057216048892386184,-0.030159029034152796,-0.321698573302839,-0.02324487871565939
MEDIAN_PDOP,AURORA17_056,1,170201,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,100.0,1.6666666666666667,0.0387821476926763,0.5209847796874871,1.3427615074144934,0.1743858277624487,0.2927528404841072,0.7632131135329396,0.3014368332491079,0.2374630599960969,0.9711839418904376,0.4671766135069017,0.4713225589391037,0.2471485668575005,3.1787423091586,94.0909090909091,660,0.5209847796874871,1.3427615074144934,0.1743858277624487,0.2927528404841072,0.7632131135329396,0.3014368332491079,0.2374630599960969,0.9711839418904376,0.4671766135069017,0.4713225589391037,0.2471485668575005,3.1787423091586,94.0909090909091,660,0.0,0.0,0.0,0.6265557697367203,0.3569319613470235,0.840266114375466,3.0390344407269065,-0.1055709900492332,0.6142519805434141,-0.36894355543636226,0.13970786843169325
WORST_PDOP_P95,AURORA17_004,1,170201,400.0,0.0,240.0,0.0,12,13.206060606060609,100.0,100.0,100.0,0.5,0.0387878625854023,0.5614231205407639,1.9111694773058352,0.1278134261899755,0.2889205008751469,1.147876146831631,0.5541379838378891,0.2744330659219889,0.3836441474121585,0.2885677967265428,0.4177136946073673,0.2412249644405807,3.0136532989594715,95.59939301972686,659,0.5614231205407639,1.9111694773058352,0.1278134261899755,0.2889205008751469,1.147876146831631,0.5541379838378891,0.2744330659219889,0.3836441474121585,0.2885677967265428,0.4177136946073673,0.2412249644405807,3.0136532989594715,95.59939301972686,659,0.0,0.0,0.0,0.6265557697367203,0.3569319613470235,0.840266114375466,3.0390344407269065,-0.0651326491959564,0.026712186065135035,-0.42255241976809865,-0.025381141767435
BEST_MEAN_PDOP,AURORA17_088,2,170202,700.0,60.0,240.0,0.0,12,14.543939393939391,100.0,100.0,100.0,0.8333333333333334,0.0437903866394652,0.5418142886890494,1.6882878567088038,0.242263805589793,0.2804323082129704,0.7323797319974397,1.075452327764992,0.4473677749914918,0.1037016119379419,0.2139014122197997,0.3755913105378647,0.3092220297622401,3.0395486977468487,94.68892261001515,659,0.5418142886890494,1.6882878567088038,0.242263805589793,0.2804323082129704,0.7323797319974397,1.075452327764992,0.4473677749914918,0.1037016119379419,0.2139014122197997,0.3755913105378647,0.3092220297622401,3.0395486977468487,94.68892261001515,659,0.0,0.0,0.0,0.9509707648599256,0.3831514807903257,0.2673163027728752,3.0114553388954763,-0.40915647617087625,-0.27944986885238376,0.1082750077649895,0.02809335885137232
MEDIAN_PDOP,AURORA17_056,2,170202,550.0,75.0,120.0,0.0,12,13.766666666666667,100.0,100.0,100.0,2.0,0.0437759060514543,0.7266738055293807,3.1592235166035296,0.1371077513398758,0.2928578292140256,0.9760464941355688,1.862457033510001,0.1485394826663216,0.2719777718347065,0.3063254372600241,0.1546547045001273,0.2262039439878102,2.9322363116689765,95.2887537993921,658,0.7266738055293807,3.1592235166035296,0.1371077513398758,0.2928578292140256,0.9760464941355688,1.862457033510001,0.1485394826663216,0.2719777718347065,0.3063254372600241,0.1546547045001273,0.2262039439878102,2.9322363116689765,95.2887537993921,658,0.0,0.0,0.0,0.9509707648599256,0.3831514807903257,0.2673163027728752,3.0114553388954763,-0.22429695933054494,-0.11117370895561918,-0.11266159827274791,-0.07921902722649987
WORST_PDOP_P95,AURORA17_004,2,170202,400.0,0.0,240.0,0.0,12,13.206060606060609,100.0,100.0,100.0,1.6666666666666667,0.0437736479743824,0.6204817477103411,1.5813034820093756,0.141837378655929,0.2889007077414034,1.1426129619216374,0.7772516104169396,0.3269618692361302,0.4977718962974986,0.3617414624015432,0.624221552849962,0.5015271538074375,2.9402747924973966,95.0,660,0.6204817477103411,1.5813034820093756,0.141837378655929,0.2889007077414034,1.1426129619216374,0.7772516104169396,0.3269618692361302,0.4977718962974986,0.3617414624015432,0.624221552849962,0.5015271538074375,2.9402747924973966,95.0,660,0.0,0.0,0.0,0.9509707648599256,0.3831514807903257,0.2673163027728752,3.0114553388954763,-0.33048901714958445,0.11462041550717289,0.35690525007708673,-0.07118054639807969
BEST_MEAN_PDOP,AURORA17_088,3,170203,700.0,60.0,240.0,0.0,12,14.543939393939391,100.0,100.0,100.0,1.0,0.0390371326515774,0.5789118669879861,2.276661045707571,0.1188310485989614,0.2805746916834118,0.5435880975148331,1.3976046968714873,0.2489169511626514,0.2844201467288233,0.2936882657260433,0.095099398382236,0.3336177653663678,2.9852680103240457,94.84848484848484,660,0.5789118669879861,2.276661045707571,0.1188310485989614,0.2805746916834118,0.5435880975148331,1.3976046968714873,0.2489169511626514,0.2844201467288233,0.2936882657260433,0.095099398382236,0.3336177653663678,2.9852680103240457,94.84848484848484,660,0.0,0.0,0.0,0.5830181690006476,0.1519439372167011,0.18642260296449,3.0385806160811897,-0.004106302012661489,0.13247620951212222,-0.09132320458225401,-0.05331260575714403
