scenario_id,scenario_index,scenario_seed,pseudorange_noise_std_m,accelerometer_noise_std_mps2,accelerometer_bias_x_mps2,accelerometer_bias_y_mps2,accelerometer_bias_z_mps2,gyro_noise_std_degps,gyro_bias_x_degps,gyro_bias_y_degps,gyro_bias_z_degps,star_tracker_noise_std_deg,initial_position_error_x_m,initial_position_error_y_m,initial_position_error_z_m,initial_velocity_error_x_mps,initial_velocity_error_y_mps,initial_velocity_error_z_mps,non_gravitational_acceleration_mps2,fault_magnitude_m,fault_start_min,fault_duration_min,gnss_outage_duration_min,star_tracker_outage_duration_min,dual_outage_duration_min,accelerometer_bias_norm_mps2,gyro_bias_norm_degps,initial_position_error_norm_m,initial_velocity_error_norm_mps,time_sync_error_s,sequence_failed_epochs,paired_sequences_complete,nominal_valid_epochs,fault_valid_epochs,fdir_pfa,temporal_ai_pfa,naive_or_pfa,hybrid_pfa,fdir_pd,temporal_ai_pd,naive_or_pd,hybrid_pd,hybrid_minus_fdir_pd,temporal_minus_fdir_pd,fdir_false_alarm_episodes,temporal_ai_false_alarm_episodes,naive_or_false_alarm_episodes,hybrid_false_alarm_episodes,fdir_episode_detected,temporal_ai_episode_detected,hybrid_episode_detected,fdir_preexisting_alarm,temporal_ai_preexisting_alarm,hybrid_preexisting_alarm,fdir_latency_s,temporal_ai_latency_s,hybrid_latency_s,nominal_mean_ai_score,fault_mean_ai_score,frozen_ai_threshold,fault_magnitude_quartile,noise_quartile
AURORA16_000,0,1601000,1.7755075841071664,8.23928316060261e-07,1.1436245493938876e-06,-4.812925502215078e-07,-2.282873374587075e-06,0.0004645711711944,0.0003595706206496,-7.759115107884573e-06,-0.0017831801428341,0.0118968538793735,95.77347310782676,-116.91423048530328,2.0393006800450166,-0.0640476398343118,0.0167844966757875,-0.1716381301562582,1.737131370521903e-05,73.30439426911713,100.42088877288109,7.333732498433792,17.824896461560627,6.914417465897046,15.45899962920924,2.598274518459063e-06,0.0018190884137115,151.1477892275301,0.1839659403817508,0.0,0,True,134,44,1.4925373134328357,0.0,1.4925373134328357,1.4925373134328357,97.72727272727272,100.0,100.0,100.0,2.2727272727272663,2.2727272727272663,2,0,2,2,1,1,1,0,0,0,4.746673627134896,4.746673627134896,4.746673627134896,0.5420528262897912,0.7272268994714804,0.632234050729579,Q4 strongest,Q1 lowest noise
AURORA16_001,1,1601001,1.618097965257021,4.0372814132806746e-07,-1.2997312087022949e-06,-4.412139535720037e-06,-2.4523086340765934e-06,0.0003122393404819,-0.0009727927588575,0.0010443124069601,-8.004209629500648e-06,0.0395677232651421,-96.45090944267334,68.90349978455333,-69.8404079653858,0.1863499174780309,-0.1631130306540345,-0.0930919739883601,2.895903274850084e-05,64.14873172906886,108.03287182575131,7.479595155254617,15.344737297203771,11.33446955145674,11.007733728458762,5.212494041656562e-06,0.0014272274599336,137.57962349000027,0.264571858167611,0.0,0,True,134,45,0.7462686567164178,0.7462686567164178,0.7462686567164178,0.7462686567164178,91.11111111111111,100.0,100.0,100.0,8.888888888888886,8.888888888888886,1,1,1,1,1,1,1,0,0,0,8.027690454921412,8.027690454921412,8.027690454921412,0.5525078998196223,0.7180413762922032,0.632234050729579,Q4 strongest,Q1 lowest noise
AURORA16_002,2,1601002,1.6767280948823262,8.760807693612987e-07,-4.548726556867467e-06,3.074129090794024e-06,-4.589471791310952e-06,0.0006020944479852,0.0001488262702958,0.0009872866050176,0.001971086690239,0.0370503441402531,144.65545690544195,17.43044327251951,-50.51505978427343,-0.1560631670088157,-0.1946954476414774,-0.147364051114943,2.062677002616324e-05,32.20375474000633,109.73930205703176,9.445957342659486,19.40056524878515,5.246248575793524,16.829208338215615,7.155727375973488e-06,0.0022095399610812,154.21022284598197,0.2897899118156882,0.0,0,True,134,57,0.0,0.0,0.0,0.0,70.17543859649122,91.2280701754386,91.2280701754386,96.49122807017544,26.31578947368422,21.05263157894737,0,0,0,0,1,1,1,0,0,0,15.641876578094127,15.641876578094127,15.641876578094127,0.5211886721513518,0.6927571278784843,0.632234050729579,Q2,Q1 lowest noise
AURORA16_003,3,1601003,1.7381345738931957,7.464075012057015e-07,-1.740188182311659e-06,-4.861142887390958e-06,2.874053391398247e-06,0.0002693682186306,0.0009449199856289,-0.0008563432387651,0.0009582663514585,0.0183418433658873,-2.616684300828126,186.077944158248,22.531236377145632,-0.0373814128220343,0.0240451482012849,0.1588444841498222,2.1743387909702103e-05,22.240589827364253,105.07790350357412,6.192707400226277,17.47606141141086,11.4836901530117,17.719871445390385,5.909242589206897e-06,0.0015951400948372,187.45534121911027,0.1649457769129487,0.0,0,True,134,37,0.7462686567164178,0.7462686567164178,0.7462686567164178,0.7462686567164178,16.216216216216218,35.13513513513514,35.13513513513514,40.54054054054054,24.324324324324323,18.91891891891892,1,1,1,1,1,1,1,0,0,0,15.325789785552502,15.325789785552502,15.325789785552502,0.5203474357616182,0.6032971102463033,0.632234050729579,Q1 weakest,Q1 lowest noise
AURORA16_004,4,1601004,3.0341180819001154,9.412274217727097e-07,4.865740322526362e-06,2.0356894691611138e-06,2.055113597592643e-06,0.0002592279049894,0.0011690060663003,-0.001453128902782,0.0006736223484317,0.0419474319912169,25.40782303639716,67.77211600677691,-106.54453653400684,-0.1179984722905296,-0.0930045085136862,0.0449648711976395,2.599699388598089e-05,61.48687537817759,108.13094463686178,8.462495687774814,19.002008876864853,11.193108054412145,16.50107882859338,5.6606494680489246e-06,0.0019829084344604,128.80355369604993,0.1568289441034133,0.0,0,True,134,51,1.4925373134328357,5.970149253731343,5.970149253731343,5.223880597014925,49.01960784313725,84.31372549019608,84.31372549019608,84.31372549019608,35.294117647058826,35.294117647058826,2,4,4,2,1,1,1,0,0,0,22.14332178829295,22.14332178829295,22.14332178829295,0.5298518552934844,0.6832494422056455,0.632234050729579,Q4 strongest,Q3
AURORA16_005,5,1601005,2.32829854902806,4.5772217382649483e-07,4.187816647919674e-06,-2.6798371429971496e-06,-8.53127370391366e-07,0.0003376004934219,-0.0001569673167358,-0.0006911528045977,-0.0013155669568372,0.0149914904444126,168.92509598806868,-141.85235335315878,88.2662105962367,-0.17025021045583,0.1674890420149045,0.119456003334692,3.1035786249854825e-05,39.26915345315899,102.54512197216556,5.076543359828536,19.30360562742562,7.259110226009685,10.661012334379633,5.044517984871418e-06,0.0014943384341402,237.58935611560304,0.2670345484914317,0.0,0,True,134,30,0.7462686567164178,0.0,0.7462686567164178,0.7462686567164178,56.66666666666666,93.33333333333331,93.33333333333331,100.0,43.333333333333336,36.66666666666666,1,0,1,1,1,1,1,0,0,0,7.292681670066656,7.292681670066656,7.292681670066656,0.4799839530082702,0.6782162074527065,0.632234050729579,Q2,Q2
AURORA16_006,6,1601006,3.773050726031773,7.704938199142795e-07,-1.4342855363022574e-06,-2.377279435264595e-06,1.620735761073509e-06,0.0002799819429909,-0.0015716532488745,0.0006615207628022,-0.0014184374562406,0.0347118245850703,179.54893501899852,-57.277150878009735,-61.38627208033285,-0.109191095203589,0.1345873490224527,0.0298888505196161,3.390189264808038e-05,26.826819388319223,101.8092446375846,9.63570786324155,13.05599875420914,8.503847454566365,15.96069862500427,3.2148743241688822e-06,0.0022180325677462,198.2088960644287,0.1758686816179467,0.0,0,True,134,58,2.238805970149253,5.970149253731343,5.970149253731343,7.462686567164178,20.689655172413797,51.72413793103448,51.72413793103448,56.896551724137936,36.20689655172414,31.03448275862069,3,4,4,4,1,1,1,0,0,0,1.445321744923831,1.445321744923831,1.445321744923831,0.5066788169831431,0.6346872233677603,0.632234050729579,Q2,Q3
AURORA16_007,7,1601007,1.868262343298196,3.744772429697052e-07,-1.6994336390096913e-06,-1.9592111186466767e-06,-3.975845926913675e-06,0.0003793214534247,-0.0007933590209624,0.0005335918291212,0.000297201498756,0.010536777814197,187.10717750832464,79.14273400419347,60.18627837613303,-0.1481720215521071,-0.0405484267202795,0.0393117045726152,1.701775524029136e-05,13.762837188726785,107.26727146250111,7.12487538551432,14.760997062074074,6.693673349770759,18.491000329655364,4.746992072395165e-06,0.0010012329934187,211.884535361974,0.1585702777847493,0.0,0,True,134,43,0.7462686567164178,0.0,0.7462686567164178,0.7462686567164178,2.3255813953488373,0.0,2.3255813953488373,2.3255813953488373,0.0,-2.3255813953488373,1,0,1,1,1,0,1,0,0,0,303.9637122499329,,303.9637122499329,0.5243692718314007,0.5229891550413304,0.632234050729579,Q1 weakest,Q1 lowest noise
AURORA16_008,8,1601008,2.014519114840588,4.938923744860204e-07,-2.970734940532272e-06,7.88134780528527e-07,-3.5154409001520568e-06,0.000419181421,-0.001986009375188,-0.0016918586181145,0.0004836402721546,0.0104740798113398,124.86374605606876,26.55007903618926,38.25844913459696,0.0628655016919856,0.069518080354409,0.0313939056976813,1.0328254481626611e-05,58.54692274368483,109.85391983208692,5.67345330277798,12.65919263548329,5.8931415940875045,19.488208206202955,4.669555358022853e-06,0.0026533990907651,133.26503932452377,0.0988453950070615,0.0,0,True,134,34,0.7462686567164178,0.0,0.7462686567164178,0.7462686567164178,79.41176470588235,100.0,100.0,100.0,20.58823529411765,20.58823529411765,1,0,1,1,1,1,1,0,0,0,8.764810074785032,8.764810074785032,8.764810074785032,0.5041589032554916,0.6741079844900106,0.632234050729579,Q3,Q1 lowest noise
AURORA16_009,9,1601009,5.246188124242464,3.394600890282565e-07,2.644612458058437e-06,-3.690319172163856e-06,3.073017536737533e-06,0.0005221832267897,-0.0015595951901867,-0.0014071744805712,-0.0015759381319408,0.0412792729048852,64.15454062195198,6.909113594352505,84.20488532619521,0.1918482927675166,-0.112611215991348,-0.0649887277144718,2.5877997129510464e-05,24.63505964397285,104.25630553405875,7.554927354283901,10.960025844700857,14.878868682723986,13.739497444026902,5.482323177892236e-06,0.0026260346859342,106.0848888667516,0.2317554489862246,0.0,0,True,134,45,1.4925373134328357,7.462686567164178,7.462686567164178,6.7164179104477615,4.444444444444445,22.22222222222222,22.22222222222222,26.666666666666668,22.22222222222222,17.77777777777778,2,2,2,1,1,1,1,0,0,0,14.621667956474766,14.621667956474766,14.621667956474766,0.5410308244280734,0.5824291593335992,0.632234050729579,Q2,Q4 highest noise
