scenario_id,scenario_index,altitude_km,inclination_deg,initial_true_anomaly_deg,eccentricity,raan_deg,argument_of_periapsis_deg
AURORA17_092,92,700.0,75.0,120.0,0.01,40.0,30.0
AURORA17_093,93,700.0,75.0,180.0,0.01,40.0,30.0
AURORA17_094,94,700.0,75.0,240.0,0.01,40.0,30.0
AURORA17_095,95,700.0,75.0,300.0,0.01,40.0,30.0
AURORA17_096,96,700.0,90.0,0.0,0.01,40.0,30.0
AURORA17_097,97,700.0,90.0,60.0,0.01,40.0,30.0
AURORA17_098,98,700.0,90.0,120.0,0.01,40.0,30.0
AURORA17_099,99,700.0,90.0,180.0,0.01,40.0,30.0
AURORA17_100,100,700.0,90.0,240.0,0.01,40.0,30.0
AURORA17_101,101,700.0,90.0,300.0,0.01,40.0,30.0
AURORA17_102,102,700.0,97.6,0.0,0.01,40.0,30.0
AURORA17_103,103,700.0,97.6,60.0,0.01,40.0,30.0
AURORA17_104,104,700.0,97.6,120.0,0.01,40.0,30.0
AURORA17_105,105,700.0,97.6,180.0,0.01,40.0,30.0
AURORA17_106,106,700.0,97.6,240.0,0.01,40.0,30.0
AURORA17_107,107,700.0,97.6,300.0,0.01,40.0,30.0
